"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
0,"Afghanistan","","","","","","","","","",""
1,"Albania",2976.0,2229.0,2128.0,2403.0,2701.0,3022.0,3378.0,3080.0,3411.0,3930.0
2,"Algeria",7146.0,7123.0,7225.0,7073.0,7002.0,7275.0,7553.0,7640.0,7993.0,8237.0
3,"Andorra","","","","","","","","","",""
4,"Angola",1545.0,1738.0,1922.0,2120.0,2323.0,2542.0,2794.0,2960.0,3043.0,3061.0
5,"Antigua and Barbuda",12016.0,12590.0,12816.0,13507.0,14345.0,13639.0,14406.0,15031.0,15496.0,15904.0
6,"Argentina",7095.0,7996.0,8899.0,9538.0,10179.0,9973.0,10590.0,11512.0,11956.0,11587.0
7,"Armenia","","",1625.0,1463.0,1614.0,1819.0,1978.0,2100.0,2279.0,2400.0
8,"Aruba",21195.0,22792.0,23842.0,24527.0,25741.0,26192.0,25961.0,27188.0,27359.0,27746.0
9,"Australia",18860.0,19071.0,19803.0,20877.0,22138.0,22980.0,24065.0,25358.0,26555.0,27783.0
10,"Austria",20394.0,21623.0,22324.0,22729.0,23634.0,24712.0,25734.0,26695.0,27932.0,29276.0
11,"Azerbaijan","","",4389.0,3442.0,2783.0,2456.0,2537.0,2784.0,2955.0,3306.0
12,"Bahamas",20739.0,20201.0,19531.0,19712.0,20412.0,21312.0,22236.0,23343.0,24315.0,25995.0
13,"Bahrain",30044.0,30499.0,32871.0,35269.0,36214.0,36705.0,37589.0,38117.0,39364.0,41203.0
14,"Bangladesh",1084.0,1141.0,1196.0,1250.0,1306.0,1368.0,1426.0,1489.0,1547.0,1614.0
15,"Barbados",9612.0,9516.0,9147.0,9406.0,9765.0,10135.0,10690.0,11347.0,11859.0,12022.0
16,"Belarus","","",4963.0,4684.0,4229.0,3858.0,4052.0,4616.0,5086.0,5344.0
17,"Belgium",19607.0,20561.0,21277.0,21472.0,22566.0,23519.0,24236.0,25521.0,26258.0,27513.0
18,"Belize",4266.0,4790.0,5350.0,5651.0,5616.0,5624.0,5644.0,5741.0,5816.0,6307.0
19,"Benin",1270.0,1323.0,1346.0,1408.0,1417.0,1485.0,1529.0,1595.0,1628.0,1673.0
20,"Bhutan",1413.0,1536.0,1625.0,1746.0,1848.0,2012.0,2154.0,2278.0,2382.0,2516.0
21,"Bolivia",2420.0,2580.0,2627.0,2726.0,2834.0,2969.0,3094.0,3239.0,3373.0,3370.0
22,"Bosnia and Herzegovina","","","","","","",3028.0,3811.0,4391.0,4918.0
23,"Botswana",6809.0,7262.0,7203.0,7461.0,7363.0,7952.0,8102.0,8632.0,8410.0,9040.0
24,"Brazil",6836.0,7020.0,7031.0,7414.0,7852.0,8242.0,8334.0,8630.0,8622.0,8653.0
25,"Brunei",57024.0,59154.0,61788.0,61983.0,63533.0,66308.0,67767.0,66301.0,64992.0,66334.0
26,"Bulgaria",9954.0,9262.0,8766.0,8023.0,7988.0,8117.0,7681.0,6762.0,7147.0,6671.0
27,"Burkina Faso",590.0,647.0,646.0,666.0,671.0,704.0,774.0,814.0,859.0,909.0
