"","Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
0,"Afghanistan","","",1051.0,1119.0,1113.0,1240.0,1307.0,1465.0,1512.0,1788.0
1,"Albania",4326.0,4835.0,5149.0,5561.0,6051.0,6619.0,7272.0,7975.0,8805.0,9221.0
2,"Algeria",8588.0,8914.0,9420.0,10146.0,10705.0,11518.0,11894.0,12438.0,12701.0,12741.0
3,"Andorra","","","","","","","","","",""
4,"Angola",3132.0,3240.0,3632.0,3703.0,4096.0,4718.0,5267.0,5987.0,6586.0,6490.0
5,"Antigua and Barbuda",16915.0,16233.0,16488.0,17666.0,18996.0,20649.0,23739.0,26364.0,26565.0,23266.0
6,"Argentina",11633.0,11257.0,10089.0,11105.0,12303.0,13681.0,15090.0,16728.0,17567.0,16472.0
7,"Armenia",2606.0,2936.0,3435.0,4008.0,4562.0,5404.0,6328.0,7417.0,8111.0,7032.0
8,"Aruba",30242.0,31917.0,31886.0,32505.0,35055.0,35095.0,35934.0,37763.0,38896.0,34340.0
9,"Australia",28953.0,30010.0,31394.0,32610.0,34481.0,36149.0,37649.0,39609.0,40517.0,40814.0
10,"Austria",30875.0,31849.0,32717.0,33527.0,35147.0,36811.0,39055.0,41469.0,42746.0,41301.0
11,"Azerbaijan",3556.0,3833.0,4220.0,4698.0,5220.0,6809.0,9322.0,11855.0,13189.0,14285.0
12,"Bahamas",27249.0,28172.0,28962.0,28752.0,29379.0,30915.0,32274.0,33225.0,32690.0,31167.0
13,"Bahrain",43920.0,44376.0,43350.0,43672.0,44525.0,45440.0,46153.0,47437.0,48244.0,46749.0
14,"Bangladesh",1703.0,1784.0,1856.0,1953.0,2090.0,2264.0,2460.0,2659.0,2827.0,2963.0
15,"Barbados",12798.0,12737.0,13000.0,13505.0,14020.0,14982.0,16259.0,16998.0,17371.0,16526.0
16,"Belarus",5797.0,6228.0,6682.0,7345.0,8463.0,9618.0,10983.0,12319.0,13894.0,14048.0
17,"Belgium",29110.0,30022.0,30871.0,31665.0,33545.0,35233.0,37015.0,39140.0,39760.0,38892.0
18,"Belize",7094.0,7430.0,7734.0,8406.0,8804.0,9044.0,9498.0,9769.0,9701.0,9453.0
19,"Benin",1758.0,1837.0,1894.0,1938.0,2016.0,2054.0,2138.0,2261.0,2350.0,2353.0
20,"Bhutan",2678.0,2846.0,3075.0,3368.0,3630.0,3923.0,4256.0,4873.0,5444.0,5726.0
21,"Bolivia",3429.0,3499.0,3575.0,3677.0,3864.0,4089.0,4343.0,4585.0,4879.0,4993.0
22,"Bosnia and Herzegovina",5241.0,5480.0,5840.0,6184.0,6742.0,7242.0,7886.0,8597.0,9272.0,9300.0
23,"Botswana",9477.0,9732.0,10432.0,11019.0,11270.0,11974.0,12826.0,13641.0,14054.0,11908.0
24,"Brazil",9104.0,9307.0,9616.0,9797.0,10514.0,11062.0,11724.0,12638.0,13397.0,13328.0
25,"Brunei",68073.0,69788.0,72049.0,74230.0,75324.0,76638.0,81120.0,82200.0,81056.0,79061.0
26,"Bulgaria",7063.0,7744.0,8374.0,9038.0,9936.0,11031.0,12207.0,13432.0,14591.0,14284.0
27,"Burkina Faso",921.0,976.0,1005.0,1073.0,1118.0,1216.0,1293.0,1341.0,1403.0,1411.0
28,"Burundi",485.0,489.0,494.0,504.0,521.0,558.0,589.0,608.0,629.0,636.0
29,"Cape Verde",3080.0,3278.0,3439.0,3705.0,3927.0,4223.0,4689.0,5199.0,5590.0,5496.0
30,"Cambodia",1064.0,1158.0,1230.0,1337.0,1490.0,1713.0,1928.0,2152.0,2307.0,2298.0
31,"Cameroon",2084.0,2145.0,2224.0,2318.0,2469.0,2509.0,2605.0,2710.0,2764.0,2777.0
32,"Canada",29915.0,30811.0,31888.0,32794.0,34390.0,36261.0,37981.0,39428.0,40159.0,38788.0
33,"Central African Republic",741.0,763.0,778.0,763.0,770.0,803.0,852.0,894.0,917.0,931.0
34,"Chad",829.0,912.0,966.0,1088.0,1437.0,1548.0,1551.0,1590.0,1615.0,1638.0
35,"Chile",11159.0,11635.0,12061.0,12745.0,13814.0,14932.0,16161.0,17277.0,18083.0,17796.0
36,"China",2886.0,3174.0,3495.0,3897.0,4381.0,5003.0,5783.0,6750.0,7501.0,8222.0
37,"Colombia",6772.0,6952.0,7147.0,7479.0,7990.0,8524.0,9266.0,10042.0,10454.0,10525.0
38,"Comoros",1725.0,1821.0,1895.0,1929.0,1994.0,2121.0,2094.0,2113.0,2183.0,2210.0
39,"Democratic Republic of the Congo",438.0,426.0,432.0,451.0,478.0,507.0,533.0,563.0,590.0,591.0
40,"Republic of the Congo",4690.0,4453.0,4455.0,4453.0,4452.0,4892.0,5313.0,4972.0,5255.0,5760.0
41,"Costa Rica",8142.0,8304.0,8572.0,8976.0,9473.0,10006.0,10906.0,11949.0,12570.0,12357.0
42,"Ivory Coast",3279.0,3272.0,3185.0,3123.0,3164.0,3235.0,3300.0,3361.0,3424.0,3467.0
43,"Croatia",12735.0,13670.0,14670.0,15783.0,16871.0,18129.0,19607.0,21131.0,21945.0,20501.0
44,"Cyprus",23392.0,24613.0,25633.0,26518.0,28235.0,30110.0,32024.0,33932.0,34994.0,33616.0
45,"Czech Republic",16895.0,17881.0,18501.0,19558.0,21045.0,23129.0,25395.0,27452.0,28482.0,27114.0
46,"Denmark",33713.0,34631.0,35209.0,35942.0,37792.0,39789.0,42495.0,43881.0,44261.0,42085.0
47,"Djibouti",2407.0,2453.0,2524.0,2611.0,2713.0,2842.0,3027.0,3221.0,3427.0,3456.0
48,"Dominica",6364.0,6503.0,6422.0,6969.0,7380.0,7667.0,8278.0,9048.0,9885.0,9839.0
49,"Dominican Republic",6812.0,7040.0,7372.0,7316.0,7608.0,8480.0,9435.0,10293.0,10704.0,10758.0
50,"Ecuador",5902.0,6139.0,6351.0,6540.0,7143.0,7661.0,8101.0,8352.0,8892.0,8838.0
51,"Egypt",6495.0,6739.0,6924.0,7136.0,7484.0,7904.0,8525.0,9198.0,9831.0,10128.0
52,"El Salvador",4462.0,4572.0,4689.0,4830.0,4979.0,5250.0,5622.0,5856.0,6069.0,5955.0
53,"Equatorial Guinea",9957.0,15645.0,18246.0,20431.0,26216.0,28002.0,29389.0,33238.0,38109.0,37129.0
54,"Eritrea",1262.0,1354.0,1356.0,1284.0,1279.0,1302.0,1288.0,1306.0,1049.0,1163.0
