,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
66,Greece,8785.0,9353.0,9761.0,9969.0,10482.0,11032.0,11278.0,11256.0,12115.0,13014.0,13417.0,14089.0,14379.0,14396.0,14913.0,15477.0,16132.0,17080.0,17837.0,18550.0,19663.0,20820.0,21868.0,23532.0,25330.0,26210.0,28456.0,30096.0,30501.0,29287.0,27954.0,25629.0,24818,25896,26541,26676,27489,28518,29761,30888,28457,32230,36466,38608,40441,42111,43783,45421
67,Grenada,2158.0,2353.0,2530.0,2634.0,2767.0,2981.0,3257.0,3668.0,3960.0,4322.0,4704.0,4925.0,4960.0,4924.0,5065.0,5235.0,5525.0,5864.0,6600.0,7132.0,7633.0,7617.0,7971.0,8866.0,9015.0,10501.0,10365.0,11270.0,11565.0,10836.0,10865.0,11117.0,11164,11887,13042,14152,15026,16218,17240,17580,15273,16705,18436,19671,20762,21768,22758,23727
68,Guatemala,2660.0,2858.0,2854.0,2819.0,2863.0,2862.0,2849.0,2949.0,3094.0,3260.0,3404.0,3541.0,3700.0,3826.0,3951.0,4116.0,4212.0,4362.0,4512.0,4639.0,4753.0,4862.0,5028.0,5139.0,5307.0,5513.0,5865.0,6246.0,6455.0,6396.0,6511.0,6794.0,7018,7183,7458,7849,7847,7912,8210,8519,8300,9149,9931,10403,10809,11183,11564,11957
69,Guinea,,,,,,,,,,,930.0,935.0,931.0,945.0,953.0,977.0,1006.0,1050.0,1080.0,1118.0,1152.0,1201.0,1261.0,1280.0,1320.0,1373.0,1418.0,1512.0,1564.0,1509.0,1550.0,1628.0,1615,1680,1671,1685,1928,2250,2390,2507,2597,2738,2993,3179,3342,3491,3645,3813
70,Guinea-Bissau,562.0,599.0,649.0,638.0,684.0,720.0,713.0,756.0,783.0,821.0,873.0,947.0,976.0,999.0,1028.0,1068.0,1103.0,1164.0,894.0,1036.0,1049.0,1100.0,1134.0,1129.0,1148.0,1235.0,1279.0,1318.0,1374.0,1385.0,1469.0,1586.0,1513,1530,1576,1874,1976,2253,2343,2438,2451,2622,2851,3021,3171,3322,3483,3654
71,Guyana,2469.0,2712.0,2625.0,2421.0,2575.0,2682.0,2751.0,2842.0,2791.0,2791.0,2832.0,3113.0,3429.0,3789.0,4181.0,4460.0,4882.0,5245.0,5192.0,5401.0,5434.0,5673.0,5828.0,5909.0,6166.0,6233.0,6741.0,7389.0,7659.0,7933.0,8357.0,8958.0,10444,10998,10943,11205,11268,11965,12723,13603,19694,25313,42647,55139,68046,88620,113003,118658
72,Haiti,1686.0,1831.0,1857.0,1867.0,1904.0,1944.0,1953.0,1958.0,2014.0,2028.0,2053.0,2110.0,2069.0,1973.0,1743.0,1919.0,1998.0,2049.0,2079.0,2128.0,2157.0,2162.0,2184.0,2268.0,2262.0,2367.0,2443.0,2584.0,2659.0,2788.0,2619.0,2765.0,2719,2902,2911,2841,3018,3080,3159,3116,3005,3032,3166,3252,3325,3392,3462,3535
73,Honduras,1388.0,1454.0,1467.0,1492.0,1594.0,1684.0,1757.0,1864.0,1907.0,1978.0,2050.0,1991.0,2100.0,2226.0,2215.0,2334.0,2353.0,2433.0,2477.0,2424.0,2588.0,2647.0,2718.0,2826.0,3008.0,3212.0,3447.0,3676.0,3820.0,3673.0,3779.0,3928.0,4033,4142,4453,4823,5146,5558,5807,5963,5399,6219,6769,7133,7418,7703,8018,8348
74,Hong Kong,7131.0,8325.0,8957.0,9701.0,10892.0,11174.0,12516.0,14415.0,16033.0,16878.0,18099.0,19563.0,20995.0,22406.0,23785.0,24262.0,24975.0,26496.0,24963.0,25737.0,28025.0,28737.0,29688.0,31022.0,34456.0,37938.0,41456.0,45106.0,46777.0,45706.0,48996.0,51999.0,52082,53454,54605,56267,56903,59668,62221,61999,59380,65981,69987,75135,78651,81952,85404,88979
75,Hungary,6326.0,7125.0,7788.0,8169.0,8715.0,9003.0,9359.0,10028.0,10419.0,10952.0,11014.0,10034.0,9947.0,10133.0,10670.0,11185.0,11417.0,12002.0,12636.0,13242.0,14192.0,15135.0,16140.0,17186.0,18544.0,19975.0,21466.0,22124.0,22834.0,21471.0,22010.0,22967.0,23179,24459,25615,26749,27899,29838,32254,34344,33218,37201,42132,44435,46654,48945,51416,54081
76,Iceland,10927.0,12342.0,13222.0,13253.0,14126.0,14915.0,16063.0,17724.0,18081.0,18512.0,19287.0,19733.0,19211.0,19723.0,20661.0,20967.0,22244.0,23764.0,25563.0,26641.0,28261.0,29600.0,29890.0,30929.0,33990.0,36822.0,39506.0,42891.0,43576.0,39999.0,39548.0,41009.0,42154,44673,46239,49471,53943,56945,59383,60424,55850,59965,66467,69811,72045,74688,77339,80087
77,India,532.0,603.0,647.0,705.0,741.0,787.0,823.0,858.0,953.0,1027.0,1101.0,1127.0,1192.0,1253.0,1339.0,1443.0,1551.0,1611.0,1698.0,1834.0,1916.0,2021.0,2097.0,2271.0,2474.0,2745.0,3044.0,3382.0,3529.0,3798.0,4182.0,4494.0,4861,5057,5234,5465,5840,6183,6670,6972,6525,7316,8293,9025,9754,10517,11320,12152
78,Indonesia,1286.0,1486.0,1582.0,1679.0,1835.0,1929.0,2069.0,2215.0,2406.0,2675.0,2966.0,3285.0,3521.0,3828.0,4136.0,4495.0,4879.0,5137.0,4461.0,4508.0,4784.0,4999.0,5231.0,5510.0,5859.0,6297.0,6753.0,7271.0,7850.0,8156.0,8657.0,9213.0,9834,10188,10399,10359,10619,11074,11798,12482,12221,13099,14638,15766,16810,17877,19002,20191
79,Iran,5751.0,5713.0,7191.0,7989.0,7397.0,7482.0,6627.0,6616.0,6278.0,6758.0,7773.0,8840.0,9205.0,9150.0,9054.0,9329.0,9957.0,10107.0,10290.0,10530.0,11218.0,11551.0,12472.0,13476.0,14221.0,14907.0,15882.0,17386.0,17583.0,17647.0,18649.0,19283.0,17041,16238,16106,14328,15282,15806,15690,15295,15812,17083,18663,19528,20145,20732,21346,21984
80,Iraq,,,,,,,,,,,,,,,,,,,,,,,,6265.0,9604.0,9812.0,10423.0,10650.0,11473.0,11646.0,12217.0,13075.0,14843,15414,14027,10494,9597,10916,11401,11968,9951,10878,12408,13020,13278,13457,13672,13944
81,Ireland,7390.0,8191.0,8734.0,8948.0,9500.0,9960.0,10202.0,10817.0,11586.0,12793.0,14310.0,14952.0,15712.0,16367.0,17643.0,19657.0,21687.0,24177.0,26314.0,29165.0,32162.0,34096.0,36043.0,37250.0,40064.0,42651.0,44868.0,47173.0,45200.0,42876.0,43919.0,45041.0,46335,47773,51032,68918,71291,78002,85607,90697,96619,113268,131034,139844,147149,153019,159164,165604
82,Israel,7240.0,8240.0,8718.0,9100.0,9514.0,10073.0,10478.0,11356.0,11976.0,12408.0,13308.0,13553.0,14340.0,14842.0,15813.0,17234.0,18131.0,18677.0,19191.0,19617.0,21217.0,21258.0,21137.0,21461.0,22687.0,23941.0,25597.0,27391.0,28310.0,28068.0,29469.0,31173.0,32336,34755,34756,35877,38230,39534,41320,42977,41931,46659,52173,54751,56633,58474,60526,62813
83,Italy,10896.0,11974.0,12723.0,13335.0,14232.0,15060.0,15777.0,16664.0,17942.0,19239.0,20338.0,21310.0,21942.0,22255.0,23194.0,24314.0,25073.0,25958.0,26712.0,27527.0,29209.0,30430.0,30965.0,31513.0,32577.0,33621.0,35131.0,36478.0,36514.0,34562.0,35416.0,36251.0,36143,36289,36461,37176,40231,42112,43610,44703,41279,46165,51062,52825,54681,56321,58024,59611
84,Jamaica,2911.0,3269.0,3518.0,3733.0,3896.0,3923.0,4244.0,4650.0,4595.0,4990.0,5335.0,5525.0,5765.0,5982.0,6170.0,6400.0,6472.0,6413.0,6344.0,6434.0,6571.0,6745.0,6857.0,7223.0,7488.0,7764.0,8206.0,8520.0,8581.0,8313.0,8263.0,8531.0,8586,8895,9047,9347,9818,10287,10705,10990,9993,10875,11962,12748,13299,13777,14260,14752
85,Japan,9147.0,10358.0,11283.0,12055.0,12967.0,13990.0,14668.0,15666.0,17246.0,18720.0,20303.0,21621.0,22222.0,22558.0,23177.0,24224.0,25385.0,26014.0,25903.0,26131.0,27409.0,28068.0,28458.0,29411.0,30836.0,32373.0,33831.0,35258.0,35512.0,33742.0,35535.0,36215.0,37629,39437,39604,40959,40641,41409,42755,43459,42075,44671,48813,51594,53633,55412,57026,58685
86,Jordan,3513.0,4279.0,4597.0,4595.0,4823.0,4721.0,4885.0,4952.0,5032.0,4442.0,4439.0,4458.0,4883.0,4881.0,4989.0,5211.0,5179.0,5362.0,5492.0,5627.0,5893.0,6203.0,6614.0,6858.0,7415.0,8024.0,8667.0,9207.0,9575.0,9626.0,9461.0,9403.0,9189,9322,9181,9465,9446,10003,10252,10496,10354,10952,11975,12722,13368,14040,14729,15434
87,Kazakhstan,,,,,,,,,,,,,7052.0,6613.0,6315.0,5966.0,6183.0,6519.0,6568.0,6865.0,7727.0,8977.0,9999.0,11082.0,12370.0,13862.0,15637.0,17293.0,17738.0,17819.0,19071.0,20634.0,21878,24326,24546,23057,23654,24699,25985,27290,26551,28414,30827,32947,34773,36257,37549,38928
88,Kenya,1117.0,1226.0,1320.0,1346.0,1370.0,1423.0,1505.0,1575.0,1671.0,1757.0,1846.0,1874.0,1839.0,1827.0,1859.0,1925.0,1986.0,1976.0,1998.0,2006.0,2003.0,2073.0,2061.0,2103.0,2198.0,2331.0,2478.0,2643.0,2626.0,2658.0,2839.0,2977.0,3107,3406,3698,4072,4353,4650,4912,5134,5067,5548,6122,6515,6865,7222,7600,8002
89,Kiribati,898.0,972.0,1027.0,1024.0,1069.0,1032.0,1039.0,1041.0,1145.0,1124.0,1126.0,1145.0,1170.0,1195.0,1226.0,1234.0,1252.0,1278.0,1358.0,1329.0,1416.0,1403.0,1457.0,1489.0,1477.0,1567.0,1580.0,1618.0,1578.0,1567.0,1537.0,1569.0,1655,1729,1718,1880,1863,1867,1983,1977,1960,2035,2165,2257,2328,2386,2443,2500
90,South Korea,2169.0,2507.0,2840.0,3297.0,3730.0,4109.0,4620.0,5285.0,6067.0,6685.0,7545.0,8556.0,9197.0,9961.0,11005.0,12193.0,13269.0,14197.0,13523.0,15177.0,16787.0,17860.0,19427.0,20328.0,21872.0,23480.0,25345.0,27401.0,28550.0,28813.0,30988.0,32547.0,33557,34244,35325,37908,39567,41001,43014,44611,44766,48653,53574,56694,59527,62268,65099,67977
91,Kosovo,,,,,,,,,,,,,,,,,,,,,5005.0,5351.0,5272.0,5420.0,5277.0,5618.0,5915.0,6488.0,6650.0,6918.0,7234.0,7829.0,8002,8372,8687,9445,9974,10393,11021,11841,11242,13034,14352,15399,16351,17322,18306,19332
92,Kuwait,33598.0,28527.0,26220.0,27415.0,29258.0,27198.0,28448.0,29867.0,26422.0,32922.0,24841.0,23727.0,42490.0,56395.0,50597.0,49037.0,47109.0,46474.0,47384.0,47523.0,51747.0,50913.0,50827.0,57787.0,60785.0,63528.0,66171.0,67441.0,69575.0,64261.0,61770.0,66970.0,72736,70727,64038,43308,40844,46480,46813,45852,43252,45008,51528,53841,55501,57069,58717,60434
93,Kyrgyzstan,,,,,,,,,,,,,2073.0,1815.0,1480.0,1423.0,1528.0,1684.0,1713.0,1773.0,1885.0,2011.0,2023.0,2188.0,2376.0,2416.0,2542.0,2802.0,3048.0,3121.0,3103.0,3320.0,3654,4083,4326,4259,4728,5094,5296,5522,5007,5298,5771,6047,6264,6492,6744,6999
94,Laos,541.0,670.0,728.0,759.0,815.0,893.0,929.0,917.0,903.0,1003.0,1069.0,1117.0,1187.0,1251.0,1346.0,1435.0,1525.0,1623.0,1680.0,1742.0,1864.0,1966.0,2100.0,2239.0,2428.0,2636.0,2913.0,3172.0,3428.0,3642.0,3918.0,4252.0,4842,5289,5874,6168,6844,7255,7774,8157,8099,8489,9166,9659,10101,10563,11076,11639
95,Latvia,,,,,,,,,,,,,5997.0,5455.0,5784.0,6075.0,6426.0,7186.0,7805.0,8206.0,8933.0,9830.0,10840.0,12097.0,13586.0,15698.0,18296.0,20837.0,20708.0,18110.0,17858.0,19110.0,21181,22514,23724,24872,26591,28571,30669,32233,31594,34644,38124,40197,42516,44851,47339,49985
96,Lebanon,6345.0,6969.0,4656.0,5901.0,8780.0,11199.0,10616.0,12664.0,9354.0,5533.0,4834.0,6626.0,6726.0,6981.0,7347.0,7705.0,7977.0,8825.0,9184.0,9105.0,9181.0,9392.0,9412.0,9302.0,9861.0,9960.0,10293.0,11537.0,12831.0,14092.0,14963.0,14669.0,14813,14967,15017,15065,15462,15954,15933,15105,11377,11377,11377,11377,11377,11377,11377,11377
97,Lesotho,485.0,533.0,582.0,607.0,669.0,696.0,721.0,721.0,783.0,835.0,886.0,946.0,989.0,1027.0,1073.0,1072.0,1154.0,1214.0,1244.0,1281.0,1373.0,1449.0,1493.0,1584.0,1664.0,1768.0,1902.0,2037.0,2139.0,2146.0,2268.0,2416.0,2454,2749,2992,3211,3101,2753,2792,2823,2667,2801,3028,3147,3243,3344,3389,3416
98,Liberia,,,,,,,,,,,,,,,,,,,,,909.0,921.0,954.0,679.0,712.0,757.0,819.0,914.0,949.0,965.0,1002.0,1067.0,1154,1329,1358,1257,1370,1532,1550,1501,1439,1536,1667,1757,1841,1935,2037,2151
99,Libya,32745.0,27398.0,28203.0,26800.0,24406.0,25471.0,22172.0,18585.0,18347.0,19550.0,22328.0,26685.0,25469.0,24106.0,24922.0,21065.0,21422.0,20872.0,20588.0,20511.0,21444.0,22161.0,21343.0,24905.0,26626.0,29943.0,30409.0,32659.0,32667.0,31008.0,32515.0,16811.0,27459,23055,20274,21710,21521,23949,26207,23455,16575,21929,18945,22900,24997,27035,28435,29874
100,Lithuania,,,,,,,,,,,,,,,,6855.0,7403.0,8217.0,8995.0,9082.0,9699.0,10652.0,11642.0,13233.0,14644.0,16539.0,18608.0,21487.0,22704.0,19676.0,20670.0,22885.0,24704,26722,28184,28842,30922,33827,36363,38809,39214,42765,46159,48336,50726,52994,55333,57713
101,Luxembourg,15915.0,17507.0,18766.0,19869.0,21542.0,23422.0,26158.0,27683.0,30819.0,34821.0,37617.0,41684.0,42823.0,45037.0,47071.0,48518.0,49436.0,52597.0,55944.0,60747.0,66404.0,69127.0,71652.0,74261.0,78311.0,81658.0,87740.0,95956.0,95969.0,91619.0,94559.0,95683.0,97749,102120,106564,109154,114498,116621,119507,123206,120086,131874,141587,146260,151046,155512,160247,165155
102,Macau,,,,,,,,,,,,,,,,,,,,,,36017.0,39457.0,44299.0,55616.0,59222.0,65294.0,73246.0,75622.0,78086.0,97052.0,119403.0,129876,145947,141807,108260,109178,120249,128272,125002,57881,71122,57929,92409,120676,135656,144701,151395
103,Madagascar,1022.0,982.0,997.0,1018.0,1045.0,1062.0,1076.0,1086.0,1133.0,1193.0,1243.0,1173.0,1182.0,1203.0,1192.0,1202.0,1213.0,1243.0,1268.0,1307.0,1355.0,1425.0,1231.0,1338.0,1404.0,1472.0,1553.0,1637.0,1728.0,1621.0,1602.0,1613.0,1591,1592,1609,1595,1652,1625,1667,1715,1564,1648,1790,1897,1982,2064,2149,2238
104,Malawi,502.0,507.0,538.0,564.0,595.0,614.0,591.0,579.0,583.0,583.0,615.0,676.0,633.0,707.0,643.0,738.0,810.0,857.0,852.0,871.0,875.0,840.0,836.0,882.0,934.0,975.0,1023.0,1120.0,1195.0,1266.0,1331.0,1385.0,1348,1445,1406,1333,1347,1357,1410,1471,1460,1511,1588,1638,1678,1725,1784,1848
105,Malaysia,3338.0,3813.0,4182.0,4506.0,4908.0,4862.0,4883.0,5140.0,5708.0,6316.0,6846.0,7636.0,8272.0,9053.0,9827.0,10732.0,11715.0,12469.0,11386.0,11947.0,12946.0,12959.0,13532.0,14256.0,15279.0,16185.0,17383.0,18789.0,19711.0,19202.0,20526.0,21702.0,22963,23225,24273,24074,24780,25897,27491,29092,27761,29702,33113,35354,37416,39336,41396,43387
106,Maldives,1599.0,1817.0,2011.0,2105.0,2472.0,2791.0,2978.0,3239.0,3553.0,3933.0,3768.0,3976.0,4211.0,4423.0,4731.0,5090.0,5533.0,6085.0,6618.0,7053.0,7444.0,7707.0,8169.0,10280.0,11022.0,9732.0,12431.0,13486.0,14819.0,13608.0,14528.0,15835.0,16436,18250,20338,21931,23410,24927,27141,29040,19222,26966,30888,33379,35703,37768,39944,42269
107,Mali,542.0,555.0,510.0,536.0,557.0,583.0,622.0,644.0,658.0,746.0,830.0,904.0,888.0,917.0,947.0,970.0,1032.0,1072.0,1087.0,1140.0,1133.0,1298.0,1319.0,1423.0,1438.0,1529.0,1597.0,1641.0,1695.0,1729.0,1787.0,1827.0,1764,1813,1915,2033,2189,2247,2338,2420,2348,2447,2609,2762,2882,2992,3108,3230
108,Malta,5853.0,6523.0,6891.0,7083.0,7458.0,7811.0,8055.0,8663.0,9515.0,10488.0,11277.0,12024.0,13150.0,13853.0,14654.0,15849.0,16698.0,17668.0,18342.0,19192.0,19314.0,19384.0,20027.0,21112.0,21569.0,22838.0,23995.0,25781.0,27133.0,26794.0,28405.0,29063.0,30424,32560,34755,37922,40137,44884,47211,49058,43658,50005,56338,59860,63019,66165,69465,72881
109,Marshall Islands,,,,,,,,,,,,,,,,,,2095.0,2073.0,2045.0,2107.0,2331.0,2496.0,2491.0,2528.0,2630.0,2691.0,2841.0,2675.0,2773.0,2961.0,2990.0,2968,3126,3140,3209,3275,3434,3610,3911,3880,4076,4395,4662,4816,4955,5084,5218
110,Mauritania,,,,,,,,,,,2861.0,2879.0,2915.0,3073.0,2959.0,3225.0,3379.0,3206.0,3239.0,3309.0,3159.0,3113.0,3114.0,3299.0,3449.0,3757.0,4729.0,4631.0,4579.0,4493.0,4549.0,4716.0,4755,5099,4662,4586,5159,5636,5912,6206,6088,6354,6925,7353,7940,8399,8842,9237
111,Mauritius,1996.0,2279.0,2522.0,2607.0,2800.0,3062.0,3402.0,3812.0,4186.0,4509.0,4979.0,5318.0,5717.0,6078.0,6374.0,6729.0,7161.0,7603.0,8071.0,8292.0,9085.0,9513.0,9750.0,10462.0,11134.0,11581.0,12420.0,13424.0,14367.0,14899.0,15700.0,16653.0,16964,17866,18484,19226,20701,21415,22733,23839,20523,22278,25372,27698,29474,31045,32671,34393
112,Mexico,5985.0,6934.0,7149.0,7002.0,7332.0,7559.0,7314.0,7466.0,7671.0,8137.0,8711.0,9212.0,9581.0,9902.0,10436.0,9823.0,10514.0,11256.0,11797.0,12120.0,12836.0,12899.0,12916.0,13180.0,13878.0,14450.0,15350.0,15890.0,16134.0,15147.0,15879.0,16567.0,17213,17429,18120,18382,19422,19934,20644,20764,19137,20695,22440,23308,24024,24798,25609,26449
113,Federated States of Micronesia,,,,,,,,,,,,,,,,2056.0,2024.0,1930.0,2001.0,2055.0,2198.0,2301.0,2358.0,2450.0,2443.0,2579.0,2669.0,2702.0,2707.0,2767.0,2879.0,3027.0,3021,2955,2936,3097,3151,3291,3371,3466,3438,3459,3675,3910,4095,4217,4325,4428
114,Moldova,,,,,,,,,,,,,4396.0,4458.0,3143.0,3166.0,3044.0,3156.0,2989.0,2933.0,3070.0,3337.0,3663.0,3994.0,4413.0,4907.0,5315.0,5635.0,6200.0,5872.0,6370.0,6882.0,7329,8345,8789,9222,10527,11362,12330,13238,12509,15114,16483,17779,19550,21367,23279,25367
115,Mongolia,,,,,,,,,,,3603.0,3301.0,3008.0,2954.0,3053.0,3267.0,3352.0,3494.0,3600.0,3710.0,3790.0,4007.0,4226.0,4572.0,5083.0,5519.0,6077.0,6691.0,7227.0,6991.0,7470.0,8782.0,10074,10375,10850,10442,10519,11137,12056,12730,12074,12585,13611,14588,15715,16740,17661,18551
116,Montenegro,,,,,,,,,,,,,,,,,,,,,8268.0,8514.0,8776.0,9135.0,9776.0,10490.0,11731.0,12850.0,14012.0,13256.0,13753.0,14472.0,13864,14870,15371,16336,18198,19703,21205,22469,19281,22687,26032,27616,29023,30429,31918,33491
117,Morocco,1615.0,1675.0,1900.0,1918.0,2025.0,2169.0,2342.0,2284.0,2553.0,2654.0,2853.0,3103.0,3050.0,3044.0,3379.0,3215.0,3628.0,3582.0,3831.0,3873.0,3982.0,4311.0,4455.0,4751.0,5046.0,5306.0,5809.0,6099.0,6502.0,6736.0,6990.0,7418.0,7421,7674,7352,7905,7944,8193,8556,8868,8245,9177,9808,10375,10804,11235,11715,12235
118,Mozambique,209.0,235.0,227.0,195.0,186.0,192.0,190.0,224.0,252.0,278.0,287.0,308.0,285.0,310.0,325.0,327.0,359.0,396.0,429.0,474.0,478.0,532.0,574.0,607.0,653.0,698.0,767.0,825.0,878.0,915.0,959.0,1023.0,1036,1085,1139,1291,1364,1284,1324,1339,1301,1348,1457,1540,1655,1724,1947,2187
119,Myanmar,,,,,,,,,,,,,,,,,,,798.0,865.0,981.0,1115.0,1232.0,1411.0,1659.0,1931.0,2242.0,2574.0,2804.0,2926.0,3095.0,3308.0,3697,3941,4130,4224,4141,4333,4684,5053,5241,4450,4830,5137,5391,5640,5907,6211
120,Namibia,,,,,,,,,,,4077.0,4259.0,4588.0,4471.0,4566.0,4717.0,4809.0,4939.0,4999.0,5081.0,5310.0,5554.0,5920.0,6144.0,6616.0,7018.0,7388.0,7857.0,8099.0,8054.0,8515.0,9000.0,9512,9901,10633,10793,10578,10317,10477,10380,9485,9960,10791,11328,11656,11954,12265,12584
121,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,3504.0,3647.0,4438.0,3488.0,4207.0,4542.0,4893.0,5474.0,5981,7642,9043,8975,8927,8342,9197,9856,9853,10221,10834,11229,11513,11733,11934,12151
122,Nepal,447.0,518.0,557.0,549.0,610.0,652.0,681.0,694.0,757.0,801.0,849.0,909.0,942.0,975.0,1049.0,1081.0,1132.0,1186.0,1209.0,1257.0,1339.0,1422.0,1424.0,1488.0,1578.0,1663.0,1750.0,1837.0,1965.0,2051.0,2165.0,2283.0,2505,2702,2947,2996,2990,3565,3864,4120,3997,4264,4677,4998,5269,5548,5847,6164
123,Netherlands,11708.0,12644.0,13182.0,13887.0,14780.0,15588.0,16313.0,16926.0,18202.0,19643.0,21105.0,22178.0,22863.0,23530.0,24591.0,25664.0,26926.0,28441.0,29936.0,31671.0,33528.0,34811.0,35170.0,35727.0,37263.0,39104.0,41633.0,44307.0,46004.0,44383.0,45274.0,46703.0,47342,49314,49338,50419,52441,55509,57840,59675,57612,62685,69715,72364,74842,77236,79718,82281
124,New Zealand,9177.0,10289.0,11152.0,11465.0,12567.0,12995.0,13375.0,13916.0,14354.0,14828.0,15205.0,15112.0,15402.0,16403.0,17452.0,18416.0,19213.0,19763.0,19877.0,20956.0,22209.0,23134.0,24202.0,25237.0,26745.0,28132.0,29492.0,31034.0,31306.0,30816.0,31387.0,32375.0,32733,35470,36995,36985,39266,40937,42583,43841,42589,46591,50851,53243,54969,56723,58610,60624
125,Nicaragua,,,,,,,,,,,,,,,2192.0,2301.0,2425.0,2499.0,2569.0,2734.0,2853.0,2943.0,2951.0,3023.0,3204.0,3378.0,3589.0,3823.0,3978.0,3804.0,3969.0,4254.0,4347,4539,4879,5240,5651,5973,5849,5669,5684,6490,7154,7553,7899,8258,8644,9052
126,Niger,703.0,743.0,779.0,752.0,627.0,674.0,708.0,704.0,755.0,768.0,762.0,759.0,766.0,760.0,764.0,773.0,761.0,758.0,814.0,795.0,775.0,819.0,841.0,845.0,839.0,895.0,941.0,960.0,1016.0,1003.0,1061.0,1066.0,1156,1125,1139,1145,1148,1164,1229,1276,1289,1310,1443,1546,1711,1818,1894,1974
127,Nigeria,,,,,,,,,,,1827.0,1831.0,1866.0,1893.0,1890.0,1918.0,1982.0,2023.0,2046.0,2034.0,2140.0,2277.0,2584.0,2813.0,3109.0,3344.0,3584.0,3848.0,4094.0,4347.0,4766.0,4968.0,5000,5225,5507,5426,5235,5190,5278,5352,5186,5459,5884,6122,6278,6421,6573,6731
128,North Macedonia,,,,,,,,,,,,,5987.0,5642.0,5630.0,5651.0,5784.0,5944.0,6184.0,6515.0,6938.0,6854.0,7046.0,7327.0,7852.0,8463.0,9149.0,9989.0,10720.0,10728.0,11197.0,11683.0,11909,12717,13424,13885,15128,15640,16461,17418,16610,17986,19783,21104,22377,23669,25029,26484
129,Norway,14800.0,16400.0,17389.0,18734.0,20528.0,22281.0,23565.0,24429.0,25092.0,26269.0,27669.0,29321.0,30879.0,32318.0,34489.0,36494.0,38829.0,41391.0,42692.0,43842.0,45989.0,47804.0,48949.0,50087.0,53167.0,55878.0,58479.0,61206.0,61820.0,60439.0,60774.0,61828.0,65101,66742,65647,60190,58736,62782,64590,65830,65804,70796,78128,82496,85600,88051,90332,92711
130,Oman,9938.0,11759.0,13921.0,15575.0,17156.0,20268.0,19800.0,18334.0,19976.0,20191.0,25069.0,26518.0,28403.0,29832.0,30667.0,31922.0,32640.0,34504.0,35149.0,35110.0,37467.0,39404.0,39053.0,38307.0,39429.0,41031.0,43407.0,45835.0,49815.0,51337.0,51191.0,48921.0,49100,47045,44764,36735,33678,34082,35025,35125,35747,37636,41150,42981,43341,43743,44294,44913
131,Pakistan,950.0,1073.0,1190.0,1284.0,1345.0,1468.0,1551.0,1639.0,1759.0,1868.0,1970.0,2095.0,2211.0,2252.0,2341.0,2450.0,2595.0,2621.0,2679.0,2766.0,2855.0,2917.0,2995.0,3120.0,3377.0,3723.0,3987.0,4245.0,4363.0,4314.0,4386.0,4545.0,4578,4679,4838,4999,5049,5159,5482,5641,5544,5987,6662,7001,7303,7629,8003,8399
132,Palau,,,,,,,,,,,,,,,,,,,,,8121.0,9031.0,9469.0,9330.0,9870.0,10383.0,10791.0,11442.0,11221.0,10763.0,10951.0,11942.0,12667,12815,13707,14756,14952,14695,15045,15338,14256,12821,13215,15191,16733,17648,18602,19557
133,Panama,3531.0,4120.0,4501.0,4365.0,4541.0,4807.0,4969.0,4893.0,4296.0,4440.0,4879.0,5402.0,5853.0,6188.0,6367.0,6480.0,6942.0,7367.0,7835.0,8089.0,8329.0,8394.0,8546.0,8907.0,9647.0,10466.0,11497.0,13000.0,14299.0,14318.0,15076.0,16845.0,18596,20727,22827,25275,27829,30511,31919,32982,27007,32003,36370,38673,40739,42831,45064,47427
134,Papua New Guinea,1074.0,1158.0,1212.0,1274.0,1279.0,1333.0,1408.0,1504.0,1556.0,1528.0,1471.0,1616.0,1743.0,1972.0,2168.0,2081.0,2201.0,2044.0,2109.0,2125.0,2068.0,2061.0,2040.0,2215.0,2234.0,2346.0,2423.0,2622.0,2604.0,2736.0,2892.0,2830.0,2862,2959,3350,3532,3686,3809,3810,3969,3797,3921,4271,4552,4687,4816,4951,5093
135,Paraguay,3533.0,4099.0,4167.0,4076.0,4216.0,4386.0,4348.0,4495.0,4775.0,5090.0,5498.0,5524.0,5631.0,5928.0,6249.0,6679.0,6770.0,7035.0,6977.0,6839.0,6695.0,6662.0,6642.0,6940.0,7288.0,7546.0,8018.0,8540.0,9120.0,9011.0,9974.0,10455.0,9957,10980,11355,11373,11907,12434,12954,12949,12819,13722,14528,15483,16144,16796,17482,18201
136,Peru,3111.0,3503.0,3619.0,3330.0,3498.0,3601.0,4026.0,4346.0,3987.0,3512.0,3389.0,3510.0,3502.0,3702.0,4169.0,4491.0,4620.0,4919.0,4873.0,4936.0,5105.0,5176.0,5466.0,5728.0,6093.0,6595.0,7222.0,7956.0,8748.0,8802.0,9542.0,10239.0,10567,11115,11356,11454,12020,12632,13307,13430,11975,14023,15273,16067,16763,17428,18112,18828
