,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
15,Barbados,6000.0,6421.0,6464.0,6733.0,7208.0,7496.0,8012.0,8395.0,8963.0,9615.0,9612.0,9516.0,9147.0,9406.0,9765.0,10135.0,10690.0,11347.0,11859.0,12022.0,12798.0,12737.0,13000.0,13505.0,14020.0,14982.0,16259.0,16998.0,17371.0,16526.0,16278.0,16444.0,15425,15433,15252,15571,15997,15818,16060,16096,14018,14666,17314,18780,19699,20534,21353,22110
16,Belarus,,,,,,,,,,,,,4963.0,4684.0,4229.0,3858.0,4052.0,4616.0,5086.0,5344.0,5797.0,6228.0,6682.0,7345.0,8463.0,9618.0,10983.0,12319.0,13894.0,14048.0,15355.0,16545.0,18097,18997,19017,18111,17787,18335,19407,20080,20226,21690,21709,22644,23478,24227,24929,25732
17,Belgium,10769.0,11745.0,12556.0,13084.0,13898.0,14567.0,15129.0,15852.0,17167.0,18362.0,19607.0,20561.0,21277.0,21472.0,22566.0,23519.0,24236.0,25521.0,26258.0,27513.0,29110.0,30022.0,30871.0,31665.0,33545.0,35233.0,37015.0,39140.0,39760.0,38892.0,40162.0,41082.0,42409,43755,45043,46365,48680,50727,52678,54481,51703,57055,62065,64125,66337,68219,70141,72112
18,Belize,1776.0,1944.0,1874.0,2009.0,2256.0,2232.0,2374.0,2892.0,3254.0,3805.0,4266.0,4790.0,5350.0,5651.0,5616.0,5624.0,5644.0,5741.0,5816.0,6307.0,7094.0,7430.0,7734.0,8406.0,8804.0,9044.0,9498.0,9769.0,9701.0,9453.0,9557.0,9491.0,9004,9207,9080,9055,8784,8487,8544,8812,7461,8858,9623,9963,10174,10364,10562,10768
19,Benin,985.0,1062.0,1112.0,1097.0,1106.0,1153.0,1171.0,1139.0,1182.0,1159.0,1270.0,1323.0,1346.0,1408.0,1417.0,1485.0,1529.0,1595.0,1628.0,1673.0,1758.0,1837.0,1894.0,1938.0,2016.0,2054.0,2138.0,2261.0,2350.0,2353.0,2364.0,2416.0,2498,2670,2833,2887,3005,3045,3235,3422,3499,3798,4183,4476,4712,4949,5201,5465
20,Bhutan,475.0,575.0,644.0,703.0,764.0,800.0,854.0,1016.0,1173.0,1263.0,1413.0,1536.0,1625.0,1746.0,1848.0,2012.0,2154.0,2278.0,2382.0,2516.0,2678.0,2846.0,3075.0,3368.0,3630.0,3923.0,4256.0,4873.0,5444.0,5726.0,6268.0,6943.0,7600,7894,8382,9239,10068,10852,11476,12148,11888,11855,13077,13989,14862,15888,16976,18130
21,Bolivia,2070.0,2099.0,2097.0,2048.0,2075.0,2062.0,2007.0,2064.0,2154.0,2276.0,2420.0,2580.0,2627.0,2726.0,2834.0,2969.0,3094.0,3239.0,3373.0,3370.0,3429.0,3499.0,3575.0,3677.0,3864.0,4089.0,4343.0,4585.0,4879.0,4993.0,5177.0,5473.0,5937,6645,7081,7160,7528,8456,8896,9127,8314,9056,9933,10468,10865,11230,11569,11911
22,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,3028.0,3811.0,4391.0,4918.0,5241.0,5480.0,5840.0,6184.0,6742.0,7242.0,7886.0,8597.0,9272.0,9300.0,9566.0,9971.0,10292,11038,11268,11710,12604,13240,14096,14775,14504,16274,17899,18957,19987,21030,22130,23303
23,Botswana,2283.0,2653.0,3148.0,3496.0,3720.0,3986.0,4260.0,4838.0,5963.0,6259.0,6809.0,7262.0,7203.0,7461.0,7363.0,7952.0,8102.0,8632.0,8410.0,9040.0,9477.0,9732.0,10432.0,11019.0,11270.0,11974.0,12826.0,13641.0,14054.0,11908.0,13047.0,14029.0,13144,14086,15518,14588,16639,15965,16661,17097,15471,17579,19199,20257,21063,21849,22677,23547
24,Brazil,4812.0,4925.0,5147.0,5057.0,5403.0,5891.0,6334.0,6596.0,6722.0,7083.0,6836.0,7020.0,7031.0,7414.0,7852.0,8242.0,8334.0,8630.0,8622.0,8653.0,9104.0,9307.0,9616.0,9797.0,10514.0,11062.0,11724.0,12638.0,13397.0,13328.0,14361.0,15110.0,15120,15669,15800,14816,14326,14597,15089,15424,14890,16161,17684,18396,19035,19673,20335,20824
25,Brunei,,,,,,55628.0,54133.0,54772.0,55520.0,55942.0,57024.0,59154.0,61788.0,61983.0,63533.0,66308.0,67767.0,66301.0,64992.0,66334.0,68073.0,69788.0,72049.0,74230.0,75324.0,76638.0,81120.0,82200.0,81056.0,79061.0,80669.0,84001.0,88312,84019,81806,62922,56638,60282,59953,61028,63276,68417,74196,79409,83693,88002,91921,96928
26,Bulgaria,5356.0,6155.0,6790.0,7250.0,7843.0,8231.0,8844.0,9502.0,10100.0,10489.0,9954.0,9262.0,8766.0,8023.0,7988.0,8117.0,7681.0,6762.0,7147.0,6671.0,7063.0,7744.0,8374.0,9038.0,9936.0,11031.0,12207.0,13432.0,14591.0,14284.0,14794.0,15792.0,16376,16692,17670,18459,20146,21617,22890,24409,23739,26051,29178,31303,33455,35259,37159,39189
27,Burkina Faso,376.0,412.0,433.0,434.0,445.0,498.0,534.0,532.0,568.0,587.0,590.0,647.0,646.0,666.0,671.0,704.0,774.0,814.0,859.0,909.0,921.0,976.0,1005.0,1073.0,1118.0,1216.0,1293.0,1341.0,1403.0,1411.0,1502.0,1587.0,1619,1683,1692,1714,1895,2044,2171,2270,2276,2463,2656,2802,2924,3044,3174,3310
28,Burundi,314.0,374.0,382.0,400.0,403.0,452.0,462.0,486.0,513.0,525.0,547.0,581.0,584.0,562.0,542.0,500.0,460.0,463.0,481.0,480.0,485.0,489.0,494.0,504.0,521.0,558.0,589.0,608.0,629.0,636.0,656.0,675.0,685,735,772,838,794,771,778,783,772,805,865,905,941,978,1014,1049
29,Cape Verde,782.0,914.0,980.0,1092.0,1150.0,1262.0,1297.0,1358.0,1459.0,1569.0,1602.0,1641.0,1688.0,1811.0,1984.0,2122.0,2250.0,2406.0,2580.0,2866.0,3080.0,3278.0,3439.0,3705.0,3927.0,4223.0,4689.0,5199.0,5590.0,5496.0,5583.0,5859.0,5720,5700,5659,5902,6224,6535,7703,8187,6978,7685,8460,9069,9672,10271,10861,11433
30,Cambodia,,,,,,,,515.0,568.0,592.0,602.0,647.0,684.0,703.0,745.0,781.0,818.0,842.0,869.0,971.0,1064.0,1158.0,1230.0,1337.0,1490.0,1713.0,1928.0,2152.0,2307.0,2298.0,2438.0,2636.0,2912,3110,3272,3501,3817,4101,4467,4834,4716,5009,5583,6081,6551,7032,7557,8130
31,Cameroon,1263.0,1572.0,1747.0,1887.0,2047.0,2223.0,2357.0,2298.0,2129.0,2110.0,1992.0,1922.0,1850.0,1780.0,1722.0,1766.0,1836.0,1913.0,1974.0,2026.0,2084.0,2145.0,2224.0,2318.0,2469.0,2509.0,2605.0,2710.0,2764.0,2777.0,2814.0,2892.0,2959,3130,3313,3396,3527,3665,3803,3901,3870,4073,4419,4669,4871,5084,5308,5543
32,Canada,11798.0,13197.0,13405.0,14150.0,15380.0,16466.0,16990.0,17893.0,19085.0,19948.0,20415.0,20403.0,20806.0,21616.0,22824.0,23682.0,24252.0,25470.0,26532.0,28069.0,29915.0,30811.0,31888.0,32794.0,34390.0,36261.0,37981.0,39428.0,40159.0,38788.0,40018.0,41716.0,42351,44360,45812,44703,46554,48688,50532,51653,48947,52973,57827,59872,61275,63043,64649,66222
33,Central African Republic,441.0,529.0,529.0,504.0,560.0,584.0,617.0,619.0,640.0,676.0,696.0,698.0,663.0,654.0,735.0,756.0,706.0,732.0,749.0,766.0,741.0,763.0,778.0,763.0,770.0,803.0,852.0,894.0,917.0,931.0,967.0,1013.0,1102,738,720,787,851,913,956,985,989,1021,1088,1138,1181,1222,1265,1309
34,Chad,411.0,393.0,430.0,505.0,536.0,581.0,610.0,628.0,677.0,694.0,720.0,796.0,807.0,784.0,817.0,801.0,805.0,836.0,873.0,849.0,829.0,912.0,966.0,1088.0,1437.0,1548.0,1551.0,1590.0,1615.0,1638.0,1821.0,1800.0,1736,1574,1684,1820,1682,1600,1627,1662,1598,1598,1719,1789,1836,1882,1932,1984
35,Chile,3412.0,3902.0,3522.0,3502.0,3782.0,3917.0,4146.0,4450.0,4859.0,5492.0,5811.0,6357.0,7060.0,7589.0,8020.0,8786.0,9396.0,10126.0,10535.0,10517.0,11159.0,11635.0,12061.0,12745.0,13814.0,14932.0,16161.0,17277.0,18083.0,17796.0,18858.0,20224.0,21455,22300,22651,22552,22650,23656,24732,24917,23260,26709,28887,29351,30280,31278,32338,33492
