Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Costa Rica,CRI,"9810,5513067106","9781,45993046","10416,1088472688","10882,0491513525","11100,7090135164","11290,9595810182","11182,479348576","11532,4627154254","12092,4758087467","12343,710851212","12570,6960867797","12771,9507693651","12986,0006839994","13333,2172573627","13713,0083489999","14049,909396661","14864,7814203688","15861,8745788087","16385,0010002282","16024,0300610139","16667,0165204788","17186,4484431722","17809,9405635769","18044,9450067206","18480,6517542453","18956,1919322979","19553,5988588871","20168,2204808997","20503,2768037147","20818,061678299","19824,3468365514","21199,2813398583"
Caribbean small states,CSS,"10277,0216228365","10433,2157419674","10645,1547497099","10910,1842235539","11115,904000293","11326,8406414359","11586,1180200752","11907,0085245096","11951,1538376121","12391,9741916157","12729,6784655726","12923,888748962","13304,4714432818","14007,2700549589","14488,0769729796","14893,6239598204","15812,1354465683","16266,3134228013","16393,4111328317","15767,6434333059","15905,2211152961","16025,2963632115","16431,1448939624","16610,2968324109","16852,3573804198","16764,0953905946","16341,1065250073","16175,3405273583","16257,0229188876","16358,7023251379","15049,1986996729","15768,8794109209"
Curacao,CUW,,,,,,,,,,,"28613,9000650843","29474,5907313219","29555,4375798904","29035,6515086867","28598,5661791242","28067,0789929784","27802,9785036799","27932,5887117975","28186,8708808634","27855,1405790009","27527,4892992372","27305,3738655657","27061,8535698324","26539,6102426937","25869,7818913913","25604,9294357721","25113,6950894062","24599,9378277875","24193,612981765","23659,2347332019","19607,4318759244","20783,0856106631"
Cayman Islands,CYM,,,,,,,,,,,,,,,,,"84778,3846273679","84870,0122137255","82125,1148887631","74068,8808625605","70095,8958134922","69103,2437128229","68270,0366376175","67537,5488446491","67762,3608420053","68135,4640728355","68824,426036871","69534,7719101223","71046,021848765","72402,8366534326","67093,4023973016","67500,1043024157"
Cyprus,CYP,"25237,115234375","24774,078125","26391,2890625","25941,9453125","26910,150390625","28636,58203125","28535,669921875","28877,021484375","30268,2421875","31427,39453125","32949,7890625","33884,9453125","34745,984375","35226,734375","36505,75","37730,06640625","38854,9140625","39975,53125","40405,89453125","38542,91796875","38405,41015625","37593,9296875","35749,05078125","33471,8046875","33241,19140625","34573,97265625","36678,09765625","38421,96875","40099,8359375","41746,91796875","39471,58203125","41701,703125"
Czechia,CZE,"23585,1814938054","20895,8797607116","20768,7881664466","20760,0542509881","21356,3127969696","22758,5968118404","23756,9783859253","23659,3207939067","23597,3061804104","23948,3850340351","24976,5063182959","25833,4146699938","26289,6261389536","27239,5594440384","28542,2548172745","30384,4466487841","32352,8129664551","33956,2459846788","34580,4433462984","32782,6123492193","33483,137594809","34002,1897752206","33688,0998344582","33661,4684161727","34386,7049143977","36168,4185553861","37014,9592935816","38824,8879170919","39941,2853497589","40989,7266228223","38639,9795202601","40740,9939756632"
Germany,DEU,"36699,4817033163","38294,1549425118","38734,9384083447","38105,2306021284","38881,5691219288","39366,0886366488","39568,6024740843","40218,8468799392","41022,6146311397","41769,8120329084","42928,1813366719","43576,6365260124","43417,3079988044","43089,4738197519","43605,2786723109","43949,2881791796","45678,0819192686","47100,6097046962","47643,2227372401","45044,4863870437","46999,2399709894","49757,9241566763","49872,4474888681","49954,173749339","50845,5269954271","51159,2974643888","51879,6725937905","53071,4555699913","53431,3928655449","53874,3166510099","51840,3296919358","53179,6544047515"
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,"3664,2680361994","3854,269956286","4073,6224547995","4291,2973762258","4451,6838461448","4589,3783262742","4768,1130047073","4753,8878860134","4913,2564412103"
Dominica,DMA,"7855,8210423106","8000,8506039393","8166,6468915147","8336,2866115266","8335,6662507725","8587,9365216236","8859,004086886","9063,7676476821","9425,365623628","9491,7834563327","9763,9412260157","9785,3399607369","9493,4274115989","10070,0042883003","10357,2335536786","10409,9820860605","10884,2531377088","11570,1724107084","12392,8297404105","12246,9940872336","12335,1099271963","12309,8622178234","12153,687730068","12044,2218719671","12516,3840491873","12063,8956796634","12385,2690878926","11511,6064241415","11849,3015364933","12395,4204702077","10255,7609844121","10878,0369756066"
Denmark,DNK,"39027,9787365148","39469,3228084159","40108,8919453015","39979,7573849561","41969,6887111547","43015,6775097607","44013,3855851544","45260,1371186812","46096,3697234041","47298,5373518437","48907,0114021027","49133,2231026505","49204,8990055345","49262,6449732556","50446,5416048985","51483,273786293","53322,2889991783","53569,0280238008","52982,5317373493","50114,0500523227","50825,4122929358","51293,2061782002","51216,309409926","51479,2664533017","52048,3354927846","52892,6460290247","54185,0084787703","55356,680780178","56178,7746299825","56813,9641554635","55518,5971009156","57962,6540943813"
Dominican Republic,DOM,"6207,1121127923","6137,1044791597","6688,8704342057","7040,4860000129","7085,2822165897","7349,363490416","7650,1133706215","8189,0458383114","8599,5647431653","8970,3942378339","9246,3094162092","9333,5704881453","9613,3316981767","9351,323951165","9460,9129113453","10215,4993710392","11009,2750694517","11677,2541307516","11899,2276476721","11856,0474200601","12677,0175637642","12905,288988573","13087,9489899427","13555,5113586867","14334,733860885","15145,4694592907","15967,2022809286","16524,5338420587","17484,1217559257","18171,0609627655","16768,4261044255","18626,0786815748"
Algeria,DZA,"8828,8744734949","8517,3769617052","8471,5276053104","8109,8835591866","7869,270271719","8013,1234420949","8195,8604795123","8147,878198018","8435,0356583583","8584,0714959415","8786,190349657","8926,110133589","9299,6821337387","9835,1617094612","10114,7255553923","10566,3728391174","10592,2471112484","10775,5321067078","10847,1766343771","10824,576361634","11007,7466062444","11113,9688925215","11270,701045131","11360,6376117058","11561,2597954385","11751,6341191101","11888,3229666783","11809,4830333846","11725,8777414257","11627,2799177398","10844,7707637063","11039,8052606484"
East Asia & Pacific (excluding high income),EAP,"2191,9410630763","2322,8740136568","2520,700742321","2742,319785985","2979,6922488482","3221,0465790771","3458,6213397609","3641,4537171206","3623,5295269361","3791,2195574973","4025,9036232636","4243,665925732","4524,4047224035","4863,8255837589","5240,6286659433","5681,4977438921","6215,2100148709","6882,7381002913","7384,7401197569","7864,0254355658","8550,1890702031","9178,8309898867","9775,4275050668","10375,7477661341","10984,8566354187","11608,4310457944","12263,1296809043","12968,7598357517","13709,7548940291","14408,7382029502","14457,5091656847","15378,3477347683"
Early-demographic dividend,EAR,"4500,8228429416","4591,9923895696","4677,17716909","4733,8246420152","4801,2911865329","4858,0115332711","5045,5367874856","5169,268052875","5174,0297634912","5212,970965004","5345,24321062","5331,356428754","5363,5925108502","5576,7845442411","5832,8065821119","6087,8543174107","6358,4588537485","6632,0205601578","6762,6909752388","6775,8772541963","7111,4527479199","7355,3602476956","7579,7396483413","7805,7163330558","8055,9309581296","8344,5171132602","8653,2745351855","8957,8627397508","9219,4018956177","9348,1718753053","8863,4379228687","9358,5086247502"
East Asia & Pacific,EAS,"5160,1484312873","5363,442774989","5564,9226274924","5775,1654739063","6047,2897289821","6354,646305675","6668,0258054649","6882,3744433754","6792,5673875629","6996,5922538621","7328,9349451263","7529,6795280926","7833,3497892905","8196,9800583938","8650,9952109284","9136,9299351901","9707,2608310716","10414,528093879","10849,1647711196","11123,6018408438","11935,6646444868","12551,7366080606","13146,5434956191","13766,2205540778","14362,5361453047","14972,309581213","15609,9089011017","16329,7786478446","17055,4096671442","17702,6470616102","17599,2324768895","18577,4193501383"
Europe & Central Asia (excluding high income),ECA,"15439,3821072917","14518,4984695048","12851,3015448039","11922,8140609312","10451,6289767827","10150,2047645397","10038,9163750681","10266,1613188474","10080,3776560021","10326,2865844879","11185,7148513783","11536,9587376908","12160,7267842779","13014,3330135678","14089,6739474334","15063,0498359752","16262,7435312649","17499,5162897253","18172,5621367311","16951,8066237687","17777,2737493539","18745,0223096887","19334,6032287134","19912,9458987395","20053,4055182332","19967,0900494572","20131,7409231663","20766,155608633","21332,5699467803","21736,7715035531","21361,6185539073","22768,0180086331"
Europe & Central Asia,ECS,"23590,0315887637","23305,04060782","22693,7390771228","22225,3526579831","22034,217845769","22346,7951202506","22620,9039819601","23222,38907392","23675,893915401","24313,525357526","25433,4581375519","26011,1446876185","26500,2230835158","27078,1947650826","28046,6928567736","28859,2133021503","30061,7621030182","31242,9815637008","31609,0941021822","29994,2286782448","30749,6923908594","31542,0490072824","31638,7940697515","31842,6429354802","32244,8217408021","32662,6358011283","33125,2298526019","34019,434184894","34737,9302437","35329,1580234797","33500,7748831121","35471,2034214126"
Ecuador,ECU,"8120,0011610789","8281,087174842","8279,5682762472","8277,154500462","8466,2487450487","8496,6967322244","8487,086198254","8697,353726341","8825,4869739783","8263,377269595","8211,7112541385","8395,832657541","8589,2838667313","8670,2107397642","9220,3254094774","9542,224994602","9792,4218199122","9836,4191046076","10284,9542658843","10170,6509379627","10355,8226596754","10988,7221081401","11424,1523292447","11806,9238358507","12073,8104194928","11908,215784299","11587,8253010112","11679,4302342769","11608,4190498367","11390,2169659569","10356,9742017158","10668,7582914222"
"Egypt, Arab Rep.",EGY,"5971,7765136959","5895,1049884987","6017,3010827207","6051,3274662886","6152,0777929304","6298,1242289536","6471,3019246246","6681,1598220832","6904,0034564587","7168,8207667214","7469,1130612923","7575,7626614208","7596,3194950149","7676,936162411","7830,3679343063","8019,8726753095","8403,5536148587","8825,2510632518","9273,4121713181","9518,7791148185","9807,8356123951","9762,9736543972","9757,1365909001","9742,1435565797","9793,9546208061","9999,1906917177","10218,3938124509","10435,9171944662","10783,7616532392","11180,6970642276","11380,8469978976","11566,0496483523"
Euro area,EMU,"32700,2222469149","33412,3068995377","33726,1684692994","33357,3773633823","34073,371290929","34814,4876592757","35321,3584286954","36201,1193244303","37224,6363708392","38219,2020559117","39569,6691574093","40301,8481375769","40504,0319527352","40593,1461415559","41306,1686695718","41801,4220934291","42968,7737096488","44043,9436792087","44012,4531367511","41864,6368186973","42642,0911191997","43412,7662351118","42911,3638830885","42650,7422053109","43096,837547912","43847,3292821462","44539,9025938979","45607,18834579","46315,0994013952","46998,7847214995","43989,9875998663","46314,0367528864"
Spain,ESP,"27528,4132467605","28157,5268953763","28280,3260908948","27843,8593467468","28372,0314344106","29025,9945784136","29674,392750146","30644,3794443942","31858,4991101859","33154,4666207698","34738,0568248096","35854,5847170553","36317,1006783319","36729,7697105221","37228,7982165672","37942,0075754017","38836,5937852313","39498,591328633","39218,2916195663","37409,6428703791","37298,4693037577","36863,4930975241","35749,5127897115","35363,5105480176","35964,4613049308","37373,9507171987","38476,787200798","39528,9253872668","40255,2537632492","40760,3089598945","35967,8915333896","37913,0757304769"
Estonia,EST,,,,,,"12730,7174142214","13558,5685292989","15503,8448315578","16332,8199308887","16215,5789517586","17765,2075336124","18952,1070075434","20364,0087374035","22049,6827903416","23691,1529865284","26096,9883386237","28814,9203164655","31140,5798350899","29621,7645299993","25337,175235261","26015,7463509325","27990,136407635","28997,3228845385","29525,1188635117","30494,0963031973","31038,8046287051","32008,9343566614","33821,93290847","34979,8670494407","36153,4319482746","35883,265325261","38717,6961505119"
Ethiopia,ETH,"767,1704185573","683,0347343934","598,9227518355","655,2132181135","653,8867319105","671,541028681","731,184621788","730,8749820165","684,3326309382","698,1934252971","719,0044355141","756,2725643937","745,5377945273","708,5326636831","781,913516745","849,8476733253","915,6734383271","991,8834008049","1068,1380088152","1130,0318403504","1236,479409414","1336,0669507675","1411,1359288618","1518,1437623013","1629,1890697963","1750,6727312872","1864,4876681634","1987,9687536714","2067,4564965925","2181,6588770326","2253,2357883219","2319,0682520334"
European Union,EUU,"28533,8135022889","28836,7134678676","29037,4171062047","28796,9278160699","29492,2131238049","30259,3600660456","30820,7867713854","31564,0776202191","32458,3806354614","33330,0029681158","34589,6879093467","35326,1608834105","35689,8924945073","35951,4393438565","36809,1401850603","37442,0704852654","38687,3620615005","39843,1226895705","40063,3296800329","38259,4112163924","38988,4252184612","39790,7254682145","39453,7555949413","39316,8796230902","39877,9479022921","40741,6548370329","41480,9140921002","42658,0798348107","43548,3086362087","44363,4587698805","41805,9947510427","44138,0369596293"
Fragile and conflict affected situations,FCS,"4865,6586004982","4351,6150628357","4111,8949697462","3783,9668902443","3334,2087733775","3153,0357902557","3106,2080207439","3149,7287002911","3219,2609569775","3246,0112014444","3356,5687239557","3451,5830119534","3529,6310216414","3526,128032339","3842,8100094825","3964,2081358538","4118,5347041967","4290,561651082","4391,8258360461","4294,8696666644","4471,1082819684","4405,6100071413","4577,1267014786","4622,0900947911","4563,4121150786","4518,8313833459","4563,9448774553","4601,162046022","4637,2908229005","4647,7226563595","4372,6983398587","4357,2965378004"
Finland,FIN,"32939,3832880618","30831,6088058571","29648,7439434243","29310,3070704183","30340,8238404135","31499,80577579","32548,0151553704","34506,7718790729","36293,3915600144","37795,0577604714","39894,1944569685","40842,3417724243","41439,019233448","42168,6934671901","43724,9661225981","44786,9096643071","46412,2003478176","48664,265707071","48817,989492787","44662,100140396","45874,6613021399","46825,8248388831","45952,246383366","45328,5753218041","44976,7764487708","45072,5902146238","46206,7878130494","47570,133583848","48048,5246160501","48583,4339897935","47443,903598625","48753,3547090561"
Fiji,FJI,"7889,8785772565","7633,7933011113","8078,590115425","8226,2136397977","8628,2032385348","8827,7998640078","9201,6840871868","8909,3857141978","8921,2558863021","9594,6369720494","9328,5813031881","9415,5023788517","9618,8061833039","9619,7464778622","10031,5572282965","10006,7669139259","10097,9616640164","9927,0223003062","9961,5122913835","9772,7436012008","10019,4125012392","10254,3588048022","10368,2158396057","10830,6102180965","11411,1836716589","11903,5016135142","12179,070677301","12822,0135997922","13311,1668940929","13241,3539549648","10966,925117563","10359,2036864105"
France,FRA,"33843,0203949502","33898,2340398527","34269,2834434525","33906,2218602936","34576,319428202","35176,6221101421","35546,5832844174","36247,6042941415","37409,3954906364","38490,040182087","39726,4884007159","40220,1008603728","40381,4595325319","40425,6380520509","41265,1269211355","41638,0317796772","42362,985412525","43123,5011328544","42993,0595165288","41544,0226065122","42145,6819456785","42862,415796739","42789,0519131717","42813,9335350732","43021,3946358903","43345,7864281559","43705,1475593257","44577,0645745394","45245,9608684875","45922,7947390313","42233,1396001127","44993,1259455262"
"Micronesia, Fed. Sts.",FSM,"2925,3079246778","3085,5035759675","3132,2579906919","3287,0294149328","3184,932525389","3362,4936140191","3242,0573438434","3036,0214668063","3114,9119090807","3153,959158145","3301,3867648028","3365,746732101","3382,8277030542","3441,7565618325","3346,7308388041","3430,3965736367","3447,4730529318","3407,9305778951","3351,1838782152","3414,0719373555","3500,2950799329","3601,8945068776","3523,3865773261","3381,9539142537","3291,3970611528","3429,7427472625","3446,0406316823","3522,2883108514","3513,8652592259","3540,7824102909","3455,7165312551","3315,2302303195"
Gabon,GAB,"17559,0061141964","18134,816075693","17109,4015608026","17318,1622609072","17497,6498228656","17903,7821563099","18091,0472921874","18655,6530438937","18825,3611700472","16716,3720684957","15987,0890848748","15907,8643345026","15453,0495552866","15379,622091738","15062,6403187925","15028,3676284766","14177,0879324268","14570,7549444887","13646,6176222541","13221,7656654831","13682,8475255477","14145,6508031578","14367,9999147727","14655,3655518015","14785,3986692256","14892,0357902738","14783,0781171838","14478,1303050188","14254,4616972272","14478,0017220931","13903,2889546654","13813,723140754"
United Kingdom,GBR,"31537,8477927359","31093,6417154534","31134,0426021928","31832,8183481179","32973,0595774302","33718,5090841434","34274,4103004204","35679,0192763027","36698,4110630247","37678,6944025227","39080,8667573272","39770,6060210997","40303,8672354951","41369,4959277234","42099,3945384131","42926,9927660957","43533,2205104862","44302,8594715415","43887,7071344831","41592,364767012","42270,434294324","42389,1462619751","42705,1483005634","43192,0779378114","44247,0296701665","44948,3359709008","45574,8478235175","46372,38660351","46878,1349608861","47362,264606579","41984,1057181241","44978,7147199494"
Georgia,GEO,"11135,4628892798","8724,2904992919","4769,9965240079","3346,568025426","3045,0424841442","3243,8462134418","3740,4854532895","4268,695273272","4511,4888032807","4737,405515582","4919,2318799562","5236,2228063137","5572,6220063759","6230,8219088413","6632,814264695","7315,1984804806","8049,9060548146","9109,8977408638","9358,6145895778","9097,4212478098","9736,7320937429","10541,4719031056","11295,7540913053","11740,0891163337","12254,6456549529","12605,1400698178","12963,7439586374","13589,7073915159","14253,4089858441","14989,2581602038","13966,3263350166","15486,6589938955"
Ghana,GHA,"2299,6387937396","2360,5127139997","2391,986749318","2447,4086786445","2469,2416362026","2512,1122671775","2568,0704237531","2613,7254709601","2671,2662143092","2721,6030127486","2752,1647732663","2787,1256164871","2833,5884212461","2901,1078729052","2982,8874718511","3075,9627311223","3187,5764371595","3240,5926078928","3447,2747779802","3523,7893866263","3709,3957612586","4128,5601788033","4402,5459524892","4610,0279153735","4628,9014133215","4616,6194141642","4662,0114739271","4929,5679540512","5125,2494896219","5345,9415922815","5263,5266028474","5435,2376847972"
Guinea,GIN,"1507,1985217234","1485,4352325754","1485,4213554338","1512,9798620904","1526,2556356141","1552,4916641809","1576,4238670043","1624,3463988359","1651,9987177897","1676,7182119815","1685,2763312041","1724,4355033856","1785,5733045893","1767,791038885","1771,0452979129","1788,3896534953","1772,7149774313","1850,6372033977","1881,2697906555","1815,3157768583","1856,4901890962","1912,8178566326","1976,9580893812","2005,3819084204","2028,5147809075","2053,1116015574","2217,109306952","2383,5788673422","2471,719002268","2545,1402015095","2604,1172340719","2640,3441909478"
"Gambia, The",GMB,"2080,1580848815","2059,832049212","2047,0275597586","2034,401652855","1974,0557289056","1933,3098335023","1919,260297142","1955,3172975911","1965,2771448836","2030,6964804548","2081,2222963187","2139,556579906","2011,8540322034","2089,6210295541","2173,1593643765","2060,5228192267","1988,0970018144","1986,3959636426","2046,1342173696","2115,6148228584","2172,1938371787","1934,727946418","1974,0940566529","1969,7769502835","1885,1420344967","1905,8229944122","1889,1380209167","1927,0399420242","2012,5907702983","2083,3090583462","2042,6202893516","2076,5664341973"
Guinea-Bissau,GNB,"1998,173206357","2057,1743022627","2020,7418369832","1997,0763787453","1998,8365355032","2035,2237830348","2224,7486527694","2324,8438255861","1641,0307488382","1627,0753498256","1681,4062292168","1681,9560147936","1628,7303272041","1600,6709079373","1606,5821426936","1635,4143398173","1632,5051463406","1643,3768989994","1652,8843610385","1665,20079277","1697,4955890648","1787,0739693232","1710,0237697807","1718,8620748877","1690,0911355098","1748,0292326203","1811,3009709452","1872,3092813981","1851,8865455771","1890,5331032239","1803,6305907651","1831,3832287408"
Equatorial Guinea,GNQ,"936,419750713","893,0973409787","1159,7386215923","1240,9085730286","1394,7864646827","1578,0494398766","2530,1987703253","6084,6230749265","7242,224925606","8749,4258683878","9890,8177374015","15389,1559944404","17534,8470755054","19081,9262331196","25164,153285585","28075,1780756811","28879,3520851043","31770,0147878693","35688,6470720477","34479,8948330445","29944,2618032545","30502,6004688321","31680,6597401383","29143,0218017857","28106,1983886504","24563,5006044462","21566,0570482721","19617,8447053636","17764,9696298828","16240,3698101562","15132,3799742142","14637,0073498595"
Greece,GRC,"24262,8425808592","24716,5174329435","24700,1305911615","24162,3715328916","24522,5259874915","24920,72893517","25521,2793744832","26534,4950478701","27415,6259519279","28149,843755764","29133,8394364843","30180,2258479604","31249,3973548441","32981,3517843691","34564,9112761871","34670,1850265467","36520,0480347644","37619,6608561742","37394,1725254225","35691,9459430994","33693,2114765963","30318,4046680383","28322,5730581368","27810,9112255691","28129,9613244489","28260,3866739065","28239,9192063819","28604,8609402657","29141,1743829385","29721,5857620428","27103,5409073372","29548,0389102217"
Grenada,GRD,"8571,903025554","8628,7301044991","8446,7369175827","8189,4495025816","8247,3423094935","8351,2515858274","8656,5141846994","9030,1334899561","10029,6302332489","10658,9817989589","11116,6117080388","10840,7648891215","11182,8332376487","12183,874014546","12019,2168857566","13523,777516333","12897,5943514122","13597,0827244508","13634,0307456326","12645,6918407716","12493,8845504652","12493,1639456701","12242,9527399202","12420,1482972304","13215,9133462459","13948,46699075","14351,2860910978","14869,9825695018","15401,7268244236","15393,7911544332","13175,4227911182","13688,2558016096"
Guatemala,GTM,"5561,0706841266","5611,5422647901","5730,6459534389","5805,7095275719","5891,3274390636","6033,0426946253","6064,0208173355","6181,1723443238","6338,3380741711","6428,0479763911","6499,8832851731","6493,6064696777","6589,7370743689","6612,6698773015","6676,7045331882","6753,6825359996","6972,3815921071","7269,2062604465","7365,2804361703","7262,5001089645","7335,9889742995","7503,6746559442","7590,7554673792","7734,1177073207","7939,3743782393","8125,6555339165","8206,047986683","8322,216809915","8469,1152880352","8671,7027176803","8390,2221802635","8926,7001165774"
Guyana,GUY,"4818,3879951868","5131,0201548087","5522,3845523311","5956,3280671222","6444,2189607067","6749,1601129582","7267,8941393261","7700,3400877712","7556,1753322661","7766,3326101887","7649,9495600889","7816,5261140637","7899,7141518669","7847,3034313341","7971,4307895886","7823,2674990381","8239,1246923214","8853,1698011412","9036,8850702116","9399,2971852673","9831,8093970174","10394,1422900566","10946,45462788","11293,949615957","11427,8730721083","11446,7634778885","11819,1548560347","12193,6216799112","12374,2195041719","12820,4897019679","18430,5697454289","21925,1868587383"
High income,HIC,"31819,960668819","32081,5167355963","32512,1222611209","32677,2941597579","33507,4963419788","34265,744888425","35079,0943116941","36034,8999590237","36791,2976112215","37782,622486286","39126,496510886","39476,652724999","39852,4111224055","40524,3776127647","41703,3177377114","42654,4473837714","43711,3970593397","44602,9873701589","44560,3584937275","42786,3317256887","43834,3081810877","44578,1718619451","44945,6714372275","45347,8242826081","46051,4477811698","46897,3617346573","47506,3940077702","48405,7394486514","49325,39226186","49982,7800096592","47614,089206266","50122,2058568847"
"Hong Kong SAR, China",HKG,"28797,6900191315","30188,3728648546","31802,4441269625","33199,3433104544","34419,3478736009","34545,5323285151","34452,9883945378","35909,7923860988","33516,3555462308","34029,9387104498","36316,2406296934","36251,7559758838","36689,4890610816","37885,5480422542","40861,6822156209","43689,3390133626","46462,4615447422","49042,7754073996","49787,6426727764","48458,869385309","51359,8077727934","53471,7954216555","53783,9440799047","55229,6066152739","56358,0441703044","57214,6906618598","58098,3943979865","59842,2129961658","61055,3381296258","59588,5186115321","55888,6883313879","59978,1484550566"
Honduras,HND,"3912,7020452641","3678,2620090013","3793,7111191601","3928,3717157575","3827,9931055009","3953,1024252085","3916,7413855987","3985,1076336733","4020,5858048436","3886,9854740214","4058,0288618323","4058,1116426846","4101,2769917783","4179,4228644543","4330,7393177784","4482,7576855746","4665,7672922137","4842,422770954","4936,8690763309","4714,6792644595","4790,1095727013","4874,8735835156","4978,0740234864","5020,9368642123","5079,7034496671","5180,1866936886","5287,2528304776","5447,6987915906","5561,2625332124","5613,6605879154","5028,1451089199","5572,1769880261"
Heavily indebted poor countries (HIPC),HPC,"1833,6865843595","1802,2795751625","1742,0770003343","1705,0157370374","1656,6611052008","1691,745070585","1729,768707703","1782,2770246434","1793,1927643229","1799,1450177847","1804,709374359","1828,5814329631","1835,7977332295","1856,3338102395","1906,2533490517","1958,2314262732","2016,4326704457","2071,3035825316","2127,9690971831","2141,8665290493","2210,2793774006","2239,0035133809","2245,1000886477","2306,0508039912","2370,1254317893","2408,2981965312","2447,1616859825","2494,3460760803","2526,1015435002","2561,6027826866","2496,6467479524","2519,1225857979"
Croatia,HRV,,,,,,"15073,5464892926","16237,3045542136","17323,9707140927","17737,6718875453","17681,5466364843","18368,2581367818","19675,7090352258","20797,4780925109","21948,3452881971","22853,7331364164","23797,3017979685","24954,3904567179","26208,1141241154","26735,9408275848","24838,7795518116","24590,5209875669","24654,1975538773","24153,0576313885","24124,0643164804","24118,530456539","24931,486179889","25999,8333485715","27211,8237992446","28225,0022979621","29352,7888604715","26950,7196332735","31635,8248832262"
Haiti,HTI,"3598,9822459011","3593,6393048328","3336,8364726457","3095,557990068","2674,5915941607","2884,8914113037","2948,9529678528","2973,3910457936","2983,3402545169","3008,9346098997","2980,1916542755","2917,1135271622","2896,8085407811","2946,3771510422","2859,1260211278","2898,3175255653","2900,4378001347","2987,1300787275","3017,0747311756","3143,7734329996","2932,2791488556","3047,2745722383","3015,8586575098","3099,4773220038","3106,9849551734","3141,0468060794","3153,1763088425","3187,7897613678","3197,1412651475","3101,5941218094","2959,0894444729","2870,1450365554"
Hungary,HUN,,"16429,7010794849","15932,4996239844","15858,7854892973","16348,5314766891","16615,1625534699","16657,4438558668","17215,6552344826","17928,7345289766","18531,7496543312","19412,1834111207","20249,4476396525","21270,0124793944","22200,1034081041","23362,8116037033","24414,5827800472","25417,5470560859","25527,5638613037","25829,0324433882","24162,2676854252","24477,5753134225","25005,286658847","24820,5161149403","25337,5872257154","26481,1657207028","27528,3058524247","28217,3540374351","29501,1204204706","31122,5027861567","32649,141606821","31231,5959420002","33593,1519691848"
IBRD only,IBD,"5111,2398763421","5048,949829353","4994,064967197","5040,3811613149","5080,9056172276","5190,2814867316","5380,5635223247","5560,028551373","5590,8306941691","5730,0610511002","5988,7945530576","6128,4685849657","6330,8899546558","6633,5981588949","7053,6415116247","7458,7863387594","7964,5316661525","8551,5416125774","8923,792422714","9027,017897318","9597,2719958675","10061,664844205","10472,2689798321","10867,7110571503","11249,53661787","11605,4204092384","12020,0028352628","12518,3134295255","13006,2337840774","13384,7111984371","13013,5430687987","13837,4247404628"
IDA & IBRD total,IBT,"4538,2242708672","4480,4879489704","4428,6152944932","4452,4369759568","4471,1786408909","4557,0483903424","4711,3856385998","4852,5659319249","4873,8298828917","4980,2393190804","5182,9159898574","5293,4428962176","5454,286017198","5693,8194586765","6032,9798059523","6357,1473766587","6758,0369099952","7219,5661575002","7508,0724638728","7588,337319816","8030,6085638653","8383,8952334337","8694,0240568336","9004,3347879546","9305,8679942626","9576,769886976","9885,4580205216","10255,8169230582","10619,1162028939","10892,9535563759","10568,3707646412","11160,6316432014"
IDA total,IDA,"2202,2378887211","2185,0339546534","2170,2829809018","2130,7020015952","2090,4745943612","2112,7743869536","2158,0300025965","2182,7716008094","2199,3174535976","2215,8817950715","2247,9667221035","2292,6283172974","2347,170945597","2407,2297801356","2509,4674102828","2602,9309466156","2700,7180308679","2800,1182340753","2872,1113681816","2940,2380540538","3038,1770268654","3108,5225588035","3169,3347027993","3277,8099839526","3396,0622356717","3476,4109479528","3542,5895336187","3617,2392471795","3709,8914373141","3785,7098212046","3703,7071928172","3769,5340771428"
IDA blend,IDB,"3253,7732561019","3233,7284955225","3259,8344351494","3175,0659117397","3131,0031858073","3127,2159011559","3183,1230197892","3157,847329089","3161,363848953","3156,9185175894","3189,4794048209","3235,7326252857","3351,7162014719","3447,5251765391","3620,2723426324","3751,3691510001","3879,5536570991","4003,1432990835","4053,127442196","4164,8565225192","4278,1878319845","4358,00200056","4448,4248894933","4589,3624989408","4749,2537197763","4844,1518392611","4865,8311904059","4909,0352459252","5012,8885693596","5050,077436081","4883,7732010144","5039,7726279542"
Indonesia,IDN,"4519,7227942107","4742,6221298351","4965,1336102875","5200,0227443608","5500,5526022978","5856,2118919333","6212,6712763288","6401,2151688786","5474,5975698076","5435,7552491707","5621,2620405979","5744,493987624","5921,0778471214","6121,6661915542","6348,2945791813","6625,6146646616","6899,8512037775","7242,0181657077","7578,2052210062","7828,8091880541","8212,6344535532","8610,5288483593","9015,8008611125","9402,1079541146","9759,0252071929","10121,8409246605","10519,2950589966","10941,9209510231","11397,4314013759","11857,7891170417","11515,7403463687","11858,1465116385"
IDA only,IDX,"1672,0812516911","1653,0881313992","1614,8398501064","1601,0179968281","1561,8620732226","1598,3570966168","1637,422772747","1689,1542023189","1712,0587945291","1739,7014847199","1770,2545400045","1812,9397939721","1834,4803303588","1877,0013946771","1942,5694835323","2017,3194687035","2100,5903439214","2188,3482161309","2272,6952813864","2316,8727716078","2406,3558603452","2471,7473470028","2517,7297348947","2610,7419171269","2709,0148585162","2784,4873769501","2878,5585418587","2973,9574264311","3064,2054831522","3164,0566938761","3127,7728668207","3148,2338345891"
