Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,AUT,"37494,5604129864","38399,6740222967","38774,4902606316","38658,6497800224","39435,210024783","40425,3937190819","41319,3749974645","42136,6622802741","43597,8900710725","45060,6187543953","46469,8610601036","46878,9162398602","47419,2784117541","47633,1140009916","48633,2718157639","49387,0278641202","50840,6944621561","52565,0739687956","53166,0542015286","51030,7246778186","51843,4283275453","53179,1474647432","53297,4447850919","52997,7538166712","52932,9001116518","52873,8586545571","53345,7415259818","54172,9867888254","55217,2865300768","55806,4382499366","51988,4158297933","54121,1455420496"
Azerbaijan,AZE,"7616,9102750611","7463,628859675","5690,1809181745","4309,9214621211","3414,511205356","2976,9952213835","2985,3371754857","3128,1641351317","3408,4753810397","3628,7168834993","3998,5204831308","4360,4594414243","4736,5643763262","5180,6864577022","5610,7631374849","7106,5979072603","9453,941859806","11684,1915431474","12672,3762154835","13565,8550922117","14082,2381481679","13913,8366943419","14027,468790254","14651,693970776","14867,9437345406","14852,6117080302","14232,1926180142","14121,4069355591","14209,5931685619","14442,0408668016","13726,7696576885","14431,6610462293"
Burundi,BDI,"1175,1550858816","1209,388157518","1190,0674350919","1153,5413087145","1103,1672978511","956,4909760686","880,3094120607","867,2842649918","891,6998436888","862,0066804329","837,3484114511","833,6708787424","846,7472951846","810,552335242","818,7460632708","796,1087130738","809,6960106527","807,4474806436","812,5921697769","801,8034273622","804,3549408042","807,6649575843","814,3207707685","824,6105226076","831,2948386037","781,5792872572","764,3366021942","750,787616271","740,4482225313","729,6584626151","711,3552634082","705,0304093683"
Belgium,BEL,"35506,9265146541","36023,6842838954","36426,9931547081","35935,9573927225","36981,4489459975","37784,149887365","38208,7186734905","39562,3729801955","40252,4689057051","41583,0973922951","43024,1399101042","43347,8892099274","43890,5981100134","44160,9114292454","45540,4669120107","46342,1866093314","47212,577772728","48590,4005353331","48423,515483961","47064,7900198376","47972,558838523","48154,8711461252","48210,9246578014","48204,5856992867","48748,6205926039","49456,3985817783","49829,9273887741","50442,2705419624","51113,4817384021","51977,1853280951","48978,9342485189","51739,537932581"
Benin,BEN,"2109,5593345394","2132,3968158503","2129,201214086","2155,3666162299","2118,2786941647","2200,5937839083","2237,5263235764","2297,9943025948","2317,4812954319","2367,7612243826","2431,4456520952","2485,1165305627","2523,6099728768","2532,9984278908","2566,3456571057","2528,6764808549","2549,1944186531","2625,2127554106","2673,7693486622","2656,431641825","2634,1347281313","2633,9390595543","2681,3516613203","2792,0272996635","2883,8990975363","2849,8204992149","2859,3916854272","2933,8373843172","3040,1675201443","3156,4389569288","3186,4780309991","3321,5521744596"
Burkina Faso,BFA,"981,8447618834","1044,1739197551","1021,1445162589","1030,5592036262","1018,1222087886","1049,0837174482","1135,2566602284","1176,3839028108","1228,1228689112","1280,9227203757","1266,7448166381","1310,072211977","1325,7034296916","1385,4550482843","1402,7843716247","1477,0398220993","1521,154454277","1536,3858137955","1578,3458260377","1578,1489389019","1661,8720214076","1720,0825222873","1776,3909974558","1823,5949524837","1846,645126767","1862,854711862","1916,7563817824","1978,1550116138","2051,2184306082","2110,0623111907","2093,7336472987","2179,7890386664"
Bangladesh,BGD,"1730,3689449933","1756,3326243442","1818,1507651228","1867,7809380996","1903,580831682","1964,0611259084","2017,213526529","2070,4374462447","2137,1500434964","2194,5264762691","2267,0753475588","2337,3645834657","2382,2814713692","2451,9902324135","2537,9507142314","2663,0962570032","2806,5926906221","2973,2813248997","3124,2267972798","3253,0913365599","3395,3647873668","3571,0586470603","3756,9319325328","3932,708330316","4119,4246394645","4337,3859020908","4589,0935317461","4830,7760826813","5124,4987545878","5467,2079477383","5591,3739891782","5911,0129962423"
Bulgaria,BGR,"12509,9619374803","11567,452792101","10842,0273050709","10767,0857424141","11000,1241175293","11365,3719038778","12018,8093274283","10385,3421301594","10851,0233870741","9995,8463556296","10506,139815587","11127,1744754811","12039,0705356451","12770,3313042432","13704,7880991571","14782,7384328632","15908,7173671642","17092,562628712","18268,0400097647","17770,7080738289","18163,8727394463","18664,8344882384","18914,983793399","18914,5254113919","19206,2607665646","19991,8175142837","20744,5231490049","21473,8048126847","22210,1223755939","23270,2239705152","22483,5971508966","24398,131565984"
Bahrain,BHR,"36997,7356016117","39769,3118096101","40971,726502181","44690,4148162104","43113,4812404734","43369,1535690876","43737,1881449762","43716,0207493882","44458,4383668438","45053,7461151746","46154,0295372007","46084,9272072473","46478,2054226708","47504,5573094864","47455,239988126","46821,0246254023","46303,4870146222","46792,1742553463","46588,6421016907","44972,7455841236","45600,0662441489","46564,7108841565","47793,5309713178","48915,5299366185","49117,9884481019","48453,7258486635","48486,3027470537","48929,4470119951","48937,6603623739","49768,9762142136","47847,8381718287","49387,4183377655"
"Bahamas, The",BHS,"36041,0382249777","33860,9856954133","31882,471166941","31293,5266576489","31638,5084411861","32411,2571820049","33184,2765371358","34867,0113022831","32744,9244704254","36179,8870785966","37131,3030798323","37572,8937483583","38083,5331720236","37103,3968571009","36929,1737100242","37665,3876989643","38081,2464841151","38091,9053065726","36680,8269382529","34646,5907408992","34688,093402557","34468,8862494456","35150,5629284392","33826,3415108954","34143,0306191253","34170,2323195734","33596,636223659","34357,2706570791","34735,1255180194","35161,8304747379","26659,2380334008","30210,1612641327"
Bosnia and Herzegovina,BIH,,,,,"1730,2883791739","2096,7661931614","3802,5937972855","4933,5431262982","5609,8874875833","6092,2452119836","6826,6582167981","6966,1175328875","7310,2742884374","7619,5660234429","8181,4995293971","8601,1708735244","9147,7435332294","9804,8521787913","10507,6730805883","10364,5029700406","10637,0863395632","10934,0888325938","11047,1844088533","11484,3542098292","11768,1041532959","12292,5450465605","12837,5982444854","13402,4339719652","14066,8443788925","14634,7387644346","14358,9869823105","15666,539843147"
Belarus,BLR,"8895,1727025419","8784,3773651123","7923,6503556689","7305,3069093853","6458,2145592761","5805,3631561008","5988,0397096028","6698,4578785699","7293,9082156616","7575,9183259516","8053,1736380832","8477,0840114832","8961,6411195934","9660,1936884529","10839,9562728165","11940,1865961058","13214,87158024","14417,3535308989","15942,8976797373","16014,1155277101","17300,7036830881","18274,0207167069","18611,4542129387","18805,4308685766","19119,3461515636","18362,7455862583","17883,1264992839","18356,1007741722","18974,6998134505","19279,209247881","19225,573834783","19751,2039053496"
Belize,BLZ,"6396,5007194636","6981,0061196236","7663,6484283544","7979,0221480967","7823,9657778683","7675,2175160927","7521,8641817151","7530,2720068262","7554,925725066","7954,4449392298","8702,0826511059","8857,370138353","9023,4010071711","9566,060227069","9710,0140570573","9631,5916105186","9781,7767113314","9815,0547476885","9397,1518974388","9101,5492346117","8988,8651363869","8776,8633161897","8912,1057537559","9109,5721465912","9276,3177928587","9387,9145422841","9208,1139434474","8873,7540251936","8798,5385732526","9028,5514848303","7703,1180410435","8762,6226834013"
