"","Country (or dependent territory)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
82,"Israel","29469","31173",32336,34755,34756,35877,38230,39534,41320,42977
83,"Italy","35416","36251",36143,36289,36461,37176,40231,42112,43610,44703
84,"Jamaica","8263","8531",8586,8895,9047,9347,9818,10287,10705,10990
85,"Japan","35535","36215",37629,39437,39604,40959,40641,41409,42755,43459
86,"Jordan","9461","9403",9189,9322,9181,9465,9446,10003,10252,10496
87,"Kazakhstan","19071","20634",21878,24326,24546,23057,23654,24699,25985,27290
88,"Kenya","2839","2977",3107,3406,3698,4072,4353,4650,4912,5134
89,"Kiribati","1537","1569",1655,1729,1718,1880,1863,1867,1983,1977
90,"South Korea","30988","32547",33557,34244,35325,37908,39567,41001,43014,44611
91,"Kosovo","7234","7829",8002,8372,8687,9445,9974,10393,11021,11841
92,"Kuwait","61770","66970",72736,70727,64038,43308,40844,46480,46813,45852
93,"Kyrgyzstan","3103","3320",3654,4083,4326,4259,4728,5094,5296,5522
94,"Laos","3918","4252",4842,5289,5874,6168,6844,7255,7774,8157
95,"Latvia","17858","19110",21181,22514,23724,24872,26591,28571,30669,32233
96,"Lebanon","14963","14669",14813,14967,15017,15065,15462,15954,15933,15105
97,"Lesotho","2268","2416",2454,2749,2992,3211,3101,2753,2792,2823
98,"Liberia","1002","1067",1154,1329,1358,1257,1370,1532,1550,1501
99,"Libya","32515","16811",27459,23055,20274,21710,21521,23949,26207,23455
100,"Lithuania","20670","22885",24704,26722,28184,28842,30922,33827,36363,38809
101,"Luxembourg","94559","95683",97749,102120,106564,109154,114498,116621,119507,123206
102,"Macau","97052","119403",129876,145947,141807,108260,109178,120249,128272,125002
103,"Madagascar","1602","1613",1591,1592,1609,1595,1652,1625,1667,1715
104,"Malawi","1331","1385",1348,1445,1406,1333,1347,1357,1410,1471
105,"Malaysia","20526","21702",22963,23225,24273,24074,24780,25897,27491,29092
106,"Maldives","14528","15835",16436,18250,20338,21931,23410,24927,27141,29040
107,"Mali","1787","1827",1764,1813,1915,2033,2189,2247,2338,2420
108,"Malta","28405","29063",30424,32560,34755,37922,40137,44884,47211,49058
109,"Marshall Islands","2961","2990",2968,3126,3140,3209,3275,3434,3610,3911
110,"Mauritania","4549","4716",4755,5099,4662,4586,5159,5636,5912,6206
111,"Mauritius","15700","16653",16964,17866,18484,19226,20701,21415,22733,23839
112,"Mexico","15879","16567",17213,17429,18120,18382,19422,19934,20644,20764
113,"Federated States of Micronesia","2879","3027",3021,2955,2936,3097,3151,3291,3371,3466
114,"Moldova","6370","6882",7329,8345,8789,9222,10527,11362,12330,13238
115,"Mongolia","7470","8782",10074,10375,10850,10442,10519,11137,12056,12730
116,"Montenegro","13753","14472",13864,14870,15371,16336,18198,19703,21205,22469
117,"Morocco","6990","7418",7421,7674,7352,7905,7944,8193,8556,8868
118,"Mozambique","959","1023",1036,1085,1139,1291,1364,1284,1324,1339
119,"Myanmar","3095","3308",3697,3941,4130,4224,4141,4333,4684,5053
120,"Namibia","8515","9000",9512,9901,10633,10793,10578,10317,10477,10380
121,"Nauru","4893","5474",5981,7642,9043,8975,8927,8342,9197,9856
122,"Nepal","2165","2283",2505,2702,2947,2996,2990,3565,3864,4120
123,"Netherlands","45274","46703",47342,49314,49338,50419,52441,55509,57840,59675
124,"New Zealand","31387","32375",32733,35470,36995,36985,39266,40937,42583,43841
125,"Nicaragua","3969","4254",4347,4539,4879,5240,5651,5973,5849,5669
126,"Niger","1061","1066",1156,1125,1139,1145,1148,1164,1229,1276
127,"Nigeria","4766","4968",5000,5225,5507,5426,5235,5190,5278,5352
128,"North Macedonia","11197","11683",11909,12717,13424,13885,15128,15640,16461,17418
129,"Norway","60774","61828",65101,66742,65647,60190,58736,62782,64590,65830
130,"Oman","51191","48921",49100,47045,44764,36735,33678,34082,35025,35125
131,"Pakistan","4386","4545",4578,4679,4838,4999,5049,5159,5482,5641
132,"Palau","10951","11942",12667,12815,13707,14756,14952,14695,15045,15338
133,"Panama","15076","16845",18596,20727,22827,25275,27829,30511,31919,32982
134,"Papua New Guinea","2892","2830",2862,2959,3350,3532,3686,3809,3810,3969
135,"Paraguay","9974","10455",9957,10980,11355,11373,11907,12434,12954,12949
136,"Peru","9542","10239",10567,11115,11356,11454,12020,12632,13307,13430
137,"Philippines","5677","5919",6360,6688,7045,7278,7789,8199,8793,9363
138,"Poland","21370","22828",23745,24553,25471,26856,28321,30162,32532,34689
139,"Portugal","26638","26769",26438,27936,28742,29669,31604,33086,34898,36466
140,"Puerto Rico","30929","31824",32583,33173,33683,34007,34300,34627,35044,36201
141,"Qatar","145599","163740",169698,161194,143222,97846,84269,91743,93869,94864
142,"Romania","17079","17851",18834,19746,20612,21547,24197,27220,29282,31226
143,"Russia","21272","22784",24279,26045,25731,24062,24104,25999,27386,28495
144,"Rwanda","1355","1464",1496,1559,1720,1816,1910,2005,2176,2369
145,"Samoa","4743","4987",4848,4897,4982,5190,5631,5794,5873,6214
146,"San Marino","63060","58184",54797,53898,55875,56138,58103,59522,61531,63606
147,"São Tomé and Príncipe","2966","3090",3042,3409,3912,3905,3952,3975,4093,4178
148,"Saudi Arabia","51270","55918",57284,56016,56786,49637,46423,48015,49190,49056
149,"Senegal","2653","2670",2739,2742,2831,2971,3076,3204,3389,3510
150,"Serbia","13095","13742",13929,14624,14657,14932,15856,16621,17881,19041
151,"Seychelles","18914","20948",21565,22369,24683,24813,27077,28531,29817,30991
152,"Sierra Leone","1134","1203",1405,1747,1788,1599,1678,1634,1694,1777
153,"Singapore","75390","80052",82065,83002,84423,86975,89437,95310,100686,102431
154,"Slovakia","24992","26175",26905,27929,28944,29986,29668,30901,32793,34203
155,"Slovenia","28181","28969",29066,29990,30883,31647,33947,36680,39211,41011
156,"Solomon Islands","1946","2077",2089,2177,2184,2183,2266,2318,2376,2399
157,"Somalia","—","—",960,870,999,1162,1218,1158,1195,1216
158,"South Africa","12885","13362",13191,13591,13595,13697,13738,13839,14176,14268
159,"South Sudan","—","3101",1341,1578,1508,1362,1028,889,864,860
160,"Spain","31597","31872",31725,32453,33544,34939,37310,39626,41328,42600
161,"Sri Lanka","8483","9347",10619,11244,11707,12208,13057,13584,14082,14215
162,"Saint Kitts and Nevis","21570","22133",21039,21859,23555,23424,24378,25341,26369,27846
163,"Saint Lucia","13048","13828",13604,13985,14166,13924,14634,15236,15924,16002
164,"Saint Vincent and the Grenadines","10659","10802",10941,11482,11891,12035,13012,13030,13738,14029
165,"Sudan","4282","5198",3929,3935,4509,4438,5569,4705,4572,4408
166,"Suriname","14453","15363",16890,17909,18301,16963,14778,17880,18994,19288
167,"Sweden","42499","44450",45259,46099,46937,48858,50062,52413,54124,55656
168,"Switzerland","56158","57786",59749,62058,63807,65612,67686,68914,72033,73644
169,"Syria","6374","6374",6374,6374,6374,6374,6374,6374,6374,6374
170,"Taiwan","38404","40533",41741,43435,45494,46911,47272,48501,51005,53476
171,"Tajikistan","2294","2459",2709,3004,3304,2958,3089,3238,3494,3744
172,"Tanzania","2067","2210",2099,2195,2243,2348,2479,2528,2687,2840
173,"Thailand","13197","13519",14871,15408,15480,15822,16616,17423,18534,19217
174,"Timor-Leste","1939","2060",2346,2483,2721,2913,3131,3177,3168,3780
175,"Togo","1544","1633",1656,1721,1792,1885,1954,2012,2110,2211
176,"Tonga","4135","4488",4608,4729,4940,5075,5518,5813,5974,6131
177,"Trinidad and Tobago","30928","31321",30085,30088,29727,27652,26375,27278,27617,27960
178,"Tunisia","10679","10557",10692,10710,10945,10735,10898,11138,11568,11814
179,"Turkey","17376","19460",20504,22221,23946,25691,26514,28242,29346,29688
180,"Turkmenistan","15034","17027",17096,16673,17210,16850,16038,17512,17900,17102
181,"Tuvalu","2880","3120",3009,3186,3287,3617,3812,4104,4252,4909
182,"Uganda","2416","2570",2373,2395,2441,2406,2359,2384,2498,2673
183,"Ukraine","8296","8959",9389,10749,10804,10225,11216,11943,12725,13447
184,"United Arab Emirates","67135","72144",74088,74734,77094,67254,65651,68504,70502,73142
185,"United Kingdom","36379","37364",38511,40233,41584,42928,44606,46553,48164,49576
186,"United States","48586","50008",51737,53246,55084,56730,57840,59886,62770,65052
187,"Uruguay","18070","19307",19489,20475,21492,21614,22093,22637,23204,23617
188,"Uzbekistan","5580","5888",6107,6355,6551,6740,6856,6898,7319,7733
189,"Vanuatu","2357","2426",2440,2438,2504,2481,2586,2739,2821,2898
190,"Venezuela","16693","17494",18553,18862,18209,17014,14213,12322,10676,8167
191,"Vietnam","5357","5826",6400,6763,7281,7635,8316,9086,9867,10559
192,"Palestine","3698","4035",4720,4826,5192,5612,5945,6025,6089,6128
193,"Yemen","4083","3541",3430,3627,3593,2548,2276,2150,2167,2186
194,"Zambia","3108","3250",3348,3504,3467,3360,3333,3407,3520,3526
195,"Zimbabwe","1884","2175",2386,2546,2577,2643,2668,2312,2444,2294
