"","Country (or dependent territory)","2020","2021","2022","2023","2024","2025","2026","2027"
96,"Lebanon",11377,11377,11377,11377,11377,11377,11377,11377
97,"Lesotho",2667,2801,3028,3147,3243,3344,3389,3416
98,"Liberia",1439,1536,1667,1757,1841,1935,2037,2151
99,"Libya",16575,21929,18945,22900,24997,27035,28435,29874
100,"Lithuania",39214,42765,46159,48336,50726,52994,55333,57713
101,"Luxembourg",120086,131874,141587,146260,151046,155512,160247,165155
102,"Macau",57881,71122,57929,92409,120676,135656,144701,151395
103,"Madagascar",1564,1648,1790,1897,1982,2064,2149,2238
104,"Malawi",1460,1511,1588,1638,1678,1725,1784,1848
105,"Malaysia",27761,29702,33113,35354,37416,39336,41396,43387
106,"Maldives",19222,26966,30888,33379,35703,37768,39944,42269
107,"Mali",2348,2447,2609,2762,2882,2992,3108,3230
108,"Malta",43658,50005,56338,59860,63019,66165,69465,72881
109,"Marshall Islands",3880,4076,4395,4662,4816,4955,5084,5218
110,"Mauritania",6088,6354,6925,7353,7940,8399,8842,9237
111,"Mauritius",20523,22278,25372,27698,29474,31045,32671,34393
112,"Mexico",19137,20695,22440,23308,24024,24798,25609,26449
113,"Federated States of Micronesia",3438,3459,3675,3910,4095,4217,4325,4428
114,"Moldova",12509,15114,16483,17779,19550,21367,23279,25367
115,"Mongolia",12074,12585,13611,14588,15715,16740,17661,18551
116,"Montenegro",19281,22687,26032,27616,29023,30429,31918,33491
117,"Morocco",8245,9177,9808,10375,10804,11235,11715,12235
118,"Mozambique",1301,1348,1457,1540,1655,1724,1947,2187
119,"Myanmar",5241,4450,4830,5137,5391,5640,5907,6211
120,"Namibia",9485,9960,10791,11328,11656,11954,12265,12584
121,"Nauru",9853,10221,10834,11229,11513,11733,11934,12151
122,"Nepal",3997,4264,4677,4998,5269,5548,5847,6164
123,"Netherlands",57612,62685,69715,72364,74842,77236,79718,82281
124,"New Zealand",42589,46591,50851,53243,54969,56723,58610,60624
125,"Nicaragua",5684,6490,7154,7553,7899,8258,8644,9052
126,"Niger",1289,1310,1443,1546,1711,1818,1894,1974
127,"Nigeria",5186,5459,5884,6122,6278,6421,6573,6731
128,"North Macedonia",16610,17986,19783,21104,22377,23669,25029,26484
129,"Norway",65804,70796,78128,82496,85600,88051,90332,92711
130,"Oman",35747,37636,41150,42981,43341,43743,44294,44913
131,"Pakistan",5544,5987,6662,7001,7303,7629,8003,8399
132,"Palau",14256,12821,13215,15191,16733,17648,18602,19557
133,"Panama",27007,32003,36370,38673,40739,42831,45064,47427
134,"Papua New Guinea",3797,3921,4271,4552,4687,4816,4951,5093
135,"Paraguay",12819,13722,14528,15483,16144,16796,17482,18201
136,"Peru",11975,14023,15273,16067,16763,17428,18112,18828
137,"Philippines",8457,9190,10344,11106,11871,12658,13507,14421
138,"Poland",34348,37997,42466,44249,46661,49223,51920,54680
139,"Portugal",33754,36892,42067,43949,46061,48047,50019,52087
140,"Puerto Rico",35660,38608,43820,46023,46704,47572,48723,50167
141,"Qatar",96554,104740,113675,123039,129088,136550,144331,154263
142,"Romania",30571,33936,38097,40673,43100,45450,47940,50573
143,"Russia",28181,30876,31967,32391,33619,34650,35666,36686
144,"Rwanda",2264,2555,2836,3064,3273,3507,3709,3926
145,"Samoa",6053,5819,5882,6295,6656,6973,7272,7554
146,"San Marino",59762,65432,72070,74970,77135,79352,81669,84079
147,"São Tomé and Príncipe",4257,4415,4710,4895,5058,5233,5220,5422
148,"Saudi Arabia",46512,49386,55802,58736,60514,62180,63953,65847
149,"Senegal",3504,3767,4113,4482,4917,5112,5327,5557
150,"Serbia",19190,21637,24084,25719,27287,29161,31029,33042
151,"Seychelles",28704,31988,37661,40649,43111,45452,47690,50044
152,"Sierra Leone",1727,1835,1972,2067,2170,2275,2371,2470
153,"Singapore",99681,116486,131426,140280,147118,152667,158689,164987
154,"Slovakia",33061,35463,38620,40546,42752,44884,47053,49246
155,"Slovenia",39428,44162,49968,52518,55173,57901,60809,63881
156,"Solomon Islands",2295,2333,2336,2429,2484,2550,2617,2688
157,"Somalia",1193,1245,1322,1373,1414,1456,1501,1549
158,"South Africa",13332,14442,15556,16043,16335,16618,16914,17220
159,"South Sudan",790,843,934,993,1031,1068,1104,1142
160,"Spain",38244,41838,46551,48594,50704,52867,54813,56673
161,"Sri Lanka",13813,14707,14230,14140,14492,14983,15563,16185
162,"Saint Kitts and Nevis",24000,23857,27782,29856,31472,32591,33763,34988
163,"Saint Lucia",12173,14140,16417,17880,18825,19444,20016,20572
164,"Saint Vincent and the Grenadines",13433,14051,15786,17310,18502,19484,20369,21300
165,"Sudan",4190,4275,4450,4608,4840,5133,5429,5716
166,"Suriname",16292,16178,17350,18172,18877,19566,20294,21054
167,"Sweden",54830,59587,63877,65459,67666,69935,72080,74376
168,"Switzerland",72143,77741,84469,87522,90290,92379,95118,97392
169,"Syria",6374,6374,6374,6374,6374,6374,6374,6374
170,"Taiwan",56038,62696,69500,74067,77232,80247,83413,86730
171,"Tajikistan",3879,4329,4803,5081,5303,5524,5760,6008
172,"Tanzania",2926,3105,3374,3569,3758,3956,4180,4427
173,"Thailand",18198,19203,21114,22645,23913,25143,26424,27744
174,"Timor-Leste",4141,4263,3904,3545,3595,3683,3776,3897
175,"Togo",2222,2377,2619,2810,2982,3157,3343,3542
176,"Tonga",6243,6337,6663,7111,7467,7806,8110,8429
177,"Trinidad and Tobago",26125,26878,29797,31769,33415,34738,35638,36757
178,"Tunisia",10802,11515,12490,13034,13479,13951,14483,15043
179,"Turkey",30460,34884,38759,40883,42516,44102,45818,47628
180,"Turkmenistan",16458,17669,18875,19727,20367,20885,21388,21928
181,"Tuvalu",4999,5317,5844,6239,6599,6950,7316,7689
182,"Uganda",2577,2780,3018,3214,3377,3590,3775,3933
183,"Ukraine",13203,14326,14326,14326,14326,14326,14326,14326
184,"United Arab Emirates",67715,71077,77272,81753,85418,89049,92998,97360
185,"United Kingdom",45329,50523,55862,57822,59160,61472,63829,65857
186,"United States",63078,69227,75180,78422,80779,83463,86521,89546
187,"Uruguay",22362,24233,27233,29109,30426,31668,32882,34154
188,"Uzbekistan",7821,8585,9478,10074,10580,11095,11642,12222
189,"Vanuatu",2682,2713,2858,2951,3013,3083,3131,3177
190,"Venezuela",5759,6106,7108,7954,7954,7954,7954,7954
191,"Vietnam",10877,11513,13075,14249,15371,16573,17889,19341
192,"Palestine",5366,5838,6354,6657,6805,6919,7041,7172
193,"Yemen",1980,1997,2136,2237,2395,2547,2698,2847
194,"Zambia",3366,3559,3808,3983,4115,4257,4414,4589
195,"Zimbabwe",2160,2364,2555,2662,2743,2824,2910,2999
